x,H0_lambda_1,H0_lambda_2,H0_lambda_3,H0_lambda_4,H0_lambda_5,H1_lambda_1,H1_lambda_2,H1_lambda_3,H1_lambda_4,H1_lambda_5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.542542542542542416e-01,2.542542542542542972e-01,2.542542542542542972e-01,2.542542542542542972e-01,2.542542542542542416e-01,2.542542542542542416e-01,2.542542542542542416e-01,2.542542542542542416e-01,2.542542542542542416e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.085085085085084833e-01,5.085085085085090384e-01,5.085085085085085943e-01,5.085085085085085943e-01,5.085085085085084833e-01,5.085085085085084833e-01,4.914914914914915167e-01,4.914914914914915167e-01,4.914914914914915167e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.627627627627626694e-01,7.627627627627626694e-01,7.627627627627626694e-01,7.627627627627626694e-01,7.627627627627626694e-01,7.627627627627626694e-01,2.372372372372373306e-01,2.372372372372373306e-01,2.372372372372373306e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.017017017017016967e+00,1.017017017017018077e+00,1.017017017017016967e+00,1.017017017017016967e+00,1.017017017017016967e+00,1.017017017017016967e+00,1.701701701701696656e-02,1.701701701701696656e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.271271271271271264e+00,1.271271271271271264e+00,1.271271271271271264e+00,1.271271271271271264e+00,1.271271271271271264e+00,1.271271271271271264e+00,2.712712712712712637e-01,2.712712712712712637e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.525525525525525339e+00,1.525525525525525339e+00,1.525525525525525339e+00,1.525525525525523562e+00,1.474474474474474661e+00,1.474474474474474661e+00,5.255255255255253388e-01,4.744744744744746612e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.779779779779779636e+00,1.779779779779779858e+00,1.779779779779779636e+00,1.779779779779779636e+00,1.220220220220220364e+00,1.220220220220220364e+00,7.797797797797796360e-01,2.202202202202203640e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.034034034034033933e+00,2.034034034034033933e+00,2.034034034034033933e+00,2.034034034034032601e+00,9.659659659659660669e-01,9.659659659659660669e-01,9.659659659659660669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.288288288288288008e+00,2.288288288288288896e+00,2.288288288288288008e+00,2.288288288288288008e+00,7.117117117117119918e-01,7.117117117117119918e-01,7.117117117117119918e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.542542542542542527e+00,2.542542542542541639e+00,2.457457457457457473e+00,2.457457457457457473e+00,5.425425425425425274e-01,5.425425425425425274e-01,4.574574574574574726e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.796796796796796603e+00,2.796796796796797935e+00,2.203203203203203397e+00,2.203203203203203397e+00,7.967967967967966025e-01,7.967967967967966025e-01,2.032032032032033975e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.051051051051050678e+00,3.051051051051050678e+00,1.948948948948949322e+00,1.948948948948949322e+00,1.051051051051050678e+00,1.051051051051050678e+00,5.105105105105067764e-02,5.105105105105067764e-02,5.105105105105067764e-02,5.105105105105067764e-02,5.105105105105067764e-02
3.305305305305305197e+00,3.305305305305303420e+00,1.694694694694694803e+00,1.694694694694694803e+00,1.305305305305305197e+00,1.305305305305305197e+00,3.053053053053051968e-01,3.053053053053051968e-01,3.053053053053051968e-01,3.053053053053051968e-01,3.053053053053051968e-01
3.559559559559559272e+00,3.559559559559559716e+00,1.559559559559559272e+00,1.440440440440440728e+00,1.440440440440440728e+00,1.440440440440440728e+00,5.595595595595592719e-01,5.595595595595592719e-01,5.595595595595592719e-01,4.404404404404407281e-01,4.404404404404407281e-01
3.813813813813813791e+00,3.813813813813812459e+00,1.813813813813813791e+00,1.186186186186186209e+00,1.186186186186186209e+00,1.186186186186186209e+00,8.138138138138137911e-01,8.138138138138137911e-01,8.138138138138137911e-01,1.861861861861862089e-01,1.861861861861862089e-01
4.068068068068067866e+00,4.068068068068068754e+00,2.068068068068067866e+00,1.068068068068067866e+00,9.319319319319321338e-01,9.319319319319321338e-01,1.068068068068067866e+00,9.319319319319321338e-01,9.319319319319321338e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.322322322322322385e+00,4.322322322322321497e+00,2.322322322322322385e+00,1.322322322322322385e+00,6.776776776776776146e-01,6.776776776776776146e-01,1.322322322322322385e+00,6.776776776776776146e-01,6.776776776776776146e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.576576576576576016e+00,4.576576576576577793e+00,2.576576576576576016e+00,1.576576576576576016e+00,5.765765765765760165e-01,5.765765765765760165e-01,1.576576576576576016e+00,4.234234234234239835e-01,4.234234234234239835e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.830830830830830536e+00,4.830830830830830536e+00,2.830830830830830536e+00,1.830830830830830536e+00,8.308308308308305357e-01,8.308308308308305357e-01,1.830830830830830536e+00,1.691691691691694643e-01,1.691691691691694643e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.085085085085085055e+00,5.085085085085083278e+00,3.085085085085085055e+00,2.085085085085085055e+00,1.085085085085085055e+00,1.085085085085085055e+00,2.085085085085085055e+00,8.508508508508505486e-02,8.508508508508505486e-02,8.508508508508505486e-02,8.508508508508505486e-02
5.339339339339338686e+00,5.339339339339339574e+00,3.339339339339338686e+00,2.339339339339338686e+00,1.339339339339338686e+00,1.339339339339338686e+00,2.339339339339338686e+00,3.393393393393386859e-01,3.393393393393386859e-01,3.393393393393386859e-01,3.393393393393386859e-01
5.593593593593593205e+00,5.593593593593592317e+00,3.406406406406406795e+00,2.593593593593593205e+00,1.593593593593593205e+00,1.593593593593593205e+00,2.593593593593593205e+00,5.935935935935932051e-01,5.935935935935932051e-01,5.935935935935932051e-01,5.935935935935932051e-01
5.847847847847847724e+00,5.847847847847848612e+00,3.152152152152152276e+00,2.847847847847847724e+00,1.847847847847847724e+00,1.847847847847847724e+00,2.847847847847847724e+00,8.478478478478477243e-01,8.478478478478477243e-01,8.478478478478477243e-01,8.478478478478477243e-01
6.102102102102101355e+00,6.102102102102101355e+00,3.102102102102101355e+00,2.897897897897898645e+00,2.102102102102101355e+00,2.102102102102101355e+00,3.102102102102101355e+00,1.102102102102101355e+00,1.102102102102101355e+00,1.102102102102101355e+00,1.102102102102101355e+00
6.356356356356355874e+00,6.356356356356357651e+00,3.356356356356355874e+00,2.643643643643644126e+00,2.356356356356355874e+00,2.356356356356355874e+00,3.356356356356355874e+00,1.356356356356355874e+00,1.356356356356355874e+00,1.356356356356355874e+00,1.356356356356355874e+00
6.610610610610610394e+00,6.610610610610610394e+00,3.610610610610610394e+00,2.610610610610610394e+00,2.610610610610610394e+00,2.389389389389389606e+00,3.389389389389389606e+00,1.610610610610610394e+00,1.610610610610610394e+00,1.610610610610610394e+00,1.610610610610610394e+00
6.864864864864864913e+00,6.864864864864863137e+00,3.864864864864864913e+00,2.864864864864864913e+00,2.864864864864864913e+00,2.135135135135135087e+00,3.135135135135135087e+00,1.864864864864864913e+00,1.864864864864864913e+00,1.864864864864864913e+00,1.864864864864864913e+00
7.119119119119118544e+00,7.119119119119119432e+00,3.880880880880881456e+00,3.119119119119118544e+00,3.119119119119118544e+00,2.119119119119118544e+00,2.880880880880881456e+00,2.119119119119118544e+00,2.119119119119118544e+00,2.119119119119118544e+00,2.119119119119118544e+00
7.373373373373373063e+00,7.373373373373372175e+00,3.626626626626626937e+00,3.373373373373373063e+00,3.373373373373373063e+00,2.373373373373373063e+00,2.626626626626626937e+00,2.373373373373373063e+00,2.373373373373373063e+00,2.373373373373373063e+00,2.373373373373373063e+00
7.627627627627627582e+00,7.627627627627628470e+00,3.627627627627627582e+00,3.372372372372372418e+00,3.372372372372372418e+00,2.627627627627627582e+00,2.627627627627627582e+00,2.627627627627627582e+00,2.627627627627627582e+00,2.627627627627627582e+00,2.372372372372372418e+00
7.881881881881881213e+00,7.881881881881881213e+00,3.881881881881881213e+00,3.118118118118118787e+00,3.118118118118118787e+00,2.881881881881881213e+00,2.881881881881881213e+00,2.881881881881881213e+00,2.881881881881881213e+00,2.881881881881881213e+00,2.118118118118118787e+00
8.136136136136135732e+00,8.136136136136137509e+00,4.136136136136135732e+00,3.136136136136135732e+00,2.863863863863864268e+00,2.863863863863864268e+00,3.136136136136135732e+00,2.863863863863864268e+00,2.863863863863864268e+00,2.863863863863864268e+00,1.863863863863864268e+00
8.390390390390390252e+00,8.390390390390390252e+00,4.390390390390390252e+00,3.390390390390390252e+00,2.609609609609609748e+00,2.609609609609609748e+00,3.390390390390390252e+00,2.609609609609609748e+00,2.609609609609609748e+00,2.609609609609609748e+00,1.609609609609609748e+00
8.644644644644644771e+00,8.644644644644642995e+00,4.644644644644644771e+00,3.644644644644644771e+00,2.355355355355355229e+00,2.355355355355355229e+00,3.644644644644644771e+00,2.355355355355355229e+00,2.355355355355355229e+00,2.355355355355355229e+00,1.355355355355355229e+00
8.898898898898899290e+00,8.898898898898899290e+00,4.898898898898899290e+00,3.898898898898899290e+00,2.101101101101100710e+00,2.101101101101100710e+00,3.898898898898899290e+00,2.101101101101100710e+00,2.101101101101100710e+00,2.101101101101100710e+00,1.101101101101100710e+00
9.153153153153152033e+00,9.153153153153152033e+00,5.153153153153152033e+00,4.153153153153152033e+00,1.846846846846847967e+00,1.846846846846847967e+00,4.153153153153152033e+00,1.846846846846847967e+00,1.846846846846847967e+00,1.846846846846847967e+00,8.468468468468479671e-01
9.407407407407406552e+00,9.407407407407404776e+00,5.407407407407406552e+00,4.407407407407406552e+00,1.592592592592593448e+00,1.592592592592593448e+00,4.407407407407406552e+00,1.592592592592593448e+00,1.592592592592593448e+00,1.592592592592593448e+00,5.925925925925934479e-01
9.661661661661661071e+00,9.661661661661661071e+00,5.661661661661661071e+00,4.661661661661661071e+00,1.338338338338338929e+00,1.338338338338338929e+00,4.661661661661661071e+00,1.338338338338338929e+00,1.338338338338338929e+00,1.338338338338338929e+00,6.616616616616610713e-01
9.915915915915915591e+00,9.915915915915917367e+00,5.915915915915915591e+00,4.915915915915915591e+00,1.084084084084084409e+00,1.084084084084084409e+00,4.915915915915915591e+00,1.084084084084084409e+00,1.084084084084084409e+00,1.084084084084084409e+00,9.159159159159155905e-01
1.017017017017017011e+01,1.017017017017017011e+01,6.170170170170170110e+00,5.170170170170170110e+00,8.298298298298298903e-01,8.298298298298298903e-01,5.170170170170170110e+00,1.170170170170170110e+00,8.298298298298298903e-01,8.298298298298298903e-01,8.298298298298298903e-01
1.042442442442442463e+01,1.042442442442442285e+01,6.424424424424424629e+00,5.424424424424424629e+00,5.755755755755753711e-01,5.755755755755753711e-01,5.424424424424424629e+00,1.424424424424424629e+00,5.755755755755753711e-01,5.755755755755753711e-01,5.755755755755753711e-01
1.067867867867867737e+01,1.067867867867867915e+01,6.678678678678677372e+00,5.678678678678677372e+00,3.213213213213226283e-01,3.213213213213226283e-01,5.678678678678677372e+00,1.678678678678677372e+00,3.213213213213226283e-01,3.213213213213226283e-01,3.213213213213226283e-01
1.093293293293293189e+01,1.093293293293293189e+01,6.932932932932931891e+00,5.932932932932931891e+00,6.706706706706810905e-02,6.706706706706810905e-02,5.932932932932931891e+00,1.932932932932931891e+00,6.706706706706810905e-02,6.706706706706810905e-02,6.706706706706810905e-02
1.118718718718718641e+01,1.118718718718718463e+01,6.812812812812813590e+00,6.187187187187186410e+00,1.871871871871864101e-01,0.000000000000000000e+00,6.187187187187186410e+00,2.187187187187186410e+00,1.871871871871864101e-01,1.871871871871864101e-01,1.871871871871864101e-01
1.144144144144144093e+01,1.144144144144144093e+01,6.558558558558559071e+00,6.441441441441440929e+00,4.414414414414409293e-01,0.000000000000000000e+00,6.441441441441440929e+00,2.441441441441440929e+00,4.414414414414409293e-01,4.414414414414409293e-01,4.414414414414409293e-01
1.169569569569569545e+01,1.169569569569569722e+01,6.304304304304304551e+00,6.304304304304304551e+00,6.956956956956954485e-01,0.000000000000000000e+00,6.695695695695695449e+00,2.695695695695695449e+00,6.956956956956954485e-01,6.956956956956954485e-01,3.043043043043045515e-01
1.194994994994994997e+01,1.194994994994994997e+01,6.050050050050050032e+00,6.050050050050050032e+00,9.499499499499499677e-01,0.000000000000000000e+00,6.949949949949949968e+00,2.949949949949949968e+00,9.499499499499499677e-01,9.499499499499499677e-01,5.005005005005003227e-02
