x,H0_lambda_1,H0_lambda_2,H0_lambda_3,H0_lambda_4,H0_lambda_5,H1_lambda_1,H1_lambda_2,H1_lambda_3,H1_lambda_4,H1_lambda_5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.552552552552552756e-01,2.552552552552552756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105105105105105512e-01,5.105105105105105512e-01,5.105105105105105512e-01,4.894894894894894488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.894894894894894488e-01,4.894894894894894488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.657657657657658268e-01,7.657657657657658268e-01,7.657657657657658268e-01,2.342342342342341732e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.342342342342341732e-01,2.342342342342341732e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021021021021021102e+00,9.789789789789788976e-01,9.789789789789788976e-01,2.102102102102110237e-02,2.102102102102110237e-02,0.000000000000000000e+00,2.102102102102110237e-02,2.102102102102110237e-02,2.102102102102110237e-02,2.102102102102110237e-02,0.000000000000000000e+00
1.276276276276276267e+00,7.237237237237237331e-01,7.237237237237237331e-01,2.762762762762762669e-01,2.762762762762762669e-01,0.000000000000000000e+00,2.762762762762762669e-01,2.762762762762762669e-01,2.762762762762762669e-01,2.762762762762762669e-01,0.000000000000000000e+00
1.531531531531531654e+00,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,0.000000000000000000e+00,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,0.000000000000000000e+00
1.786786786786787040e+00,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,0.000000000000000000e+00,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,0.000000000000000000e+00
2.042042042042042205e+00,4.204204204204220474e-02,4.204204204204220474e-02,4.204204204204220474e-02,4.204204204204220474e-02,4.204204204204220474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.297297297297297369e+00,2.972972972972973693e-01,2.972972972972973693e-01,2.972972972972973693e-01,2.972972972972973693e-01,2.972972972972973693e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552552552552552534e+00,5.525525525525551984e-01,4.474474474474474661e-01,4.474474474474474661e-01,4.474474474474474661e-01,4.474474474474474661e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.807807807807808143e+00,8.078078078078050339e-01,1.921921921921918575e-01,1.921921921921918575e-01,1.921921921921918575e-01,1.921921921921918575e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.063063063063063307e+00,1.063063063063069080e+00,6.306306306306330711e-02,6.306306306306330711e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.306306306306330711e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.318318318318318472e+00,1.318318318318318916e+00,3.183183183183184717e-01,3.183183183183184717e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.183183183183184717e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.573573573573574080e+00,1.573573573573568751e+00,4.264264264264259197e-01,4.264264264264259197e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.264264264264259197e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.828828828828829245e+00,1.828828828828832798e+00,1.711711711711707551e-01,1.711711711711707551e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.711711711711707551e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.084084084084084409e+00,2.084084084084082633e+00,8.408408408408440948e-02,8.408408408408440948e-02,8.408408408408440948e-02,8.408408408408440948e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.339339339339339574e+00,2.339339339339346679e+00,3.393393393393395741e-01,3.393393393393395741e-01,3.393393393393395741e-01,3.393393393393395741e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.594594594594594739e+00,2.594594594594596515e+00,5.945945945945965150e-01,5.945945945945947386e-01,4.054054054054052614e-01,4.054054054054052614e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849849849849849903e+00,2.849849849849846350e+00,8.498498498498499032e-01,8.498498498498499032e-01,1.501501501501500968e-01,1.501501501501500968e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105105105105105068e+00,3.105105105105103291e+00,1.105105105105105068e+00,1.105105105105103291e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.051051051051050678e-01,1.051051051051050678e-01,1.051051051051050678e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360360360360361121e+00,3.360360360360360232e+00,1.360360360360361121e+00,1.360360360360360232e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.603603603603611205e-01,3.603603603603611205e-01,3.603603603603611205e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.615615615615616285e+00,3.615615615615617173e+00,1.615615615615617173e+00,1.615615615615616285e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.156156156156162851e-01,3.843843843843837149e-01,3.843843843843837149e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.870870870870871450e+00,3.870870870870874114e+00,1.870870870870871450e+00,1.870870870870870561e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.708708708708714497e-01,1.291291291291285503e-01,1.291291291291285503e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.126126126126126614e+00,4.126126126126123950e+00,2.126126126126127502e+00,2.126126126126126614e+00,1.261261261261266142e-01,0.000000000000000000e+00,8.738738738738733858e-01,1.261261261261266142e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.381381381381381779e+00,4.381381381381380891e+00,2.381381381381381779e+00,2.381381381381380891e+00,3.813813813813817788e-01,0.000000000000000000e+00,6.186186186186182212e-01,3.813813813813817788e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.636636636636636943e+00,4.636636636636637832e+00,2.636636636636637832e+00,2.636636636636636943e+00,6.366366366366369434e-01,0.000000000000000000e+00,6.366366366366369434e-01,3.633633633633630566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.891891891891892108e+00,4.891891891891894772e+00,2.891891891891892108e+00,2.891891891891891220e+00,8.918918918918921079e-01,0.000000000000000000e+00,8.918918918918921079e-01,1.081081081081078921e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.147147147147148161e+00,5.147147147147151713e+00,3.147147147147148161e+00,3.147147147147148161e+00,1.147147147147148161e+00,0.000000000000000000e+00,1.147147147147148161e+00,1.471471471471481607e-01,1.471471471471481607e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.402402402402403325e+00,5.402402402402401549e+00,3.402402402402403325e+00,3.402402402402403325e+00,1.402402402402403325e+00,0.000000000000000000e+00,1.402402402402403325e+00,4.024024024024033253e-01,4.024024024024033253e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.657657657657658490e+00,5.657657657657658490e+00,3.657657657657658490e+00,3.657657657657658490e+00,1.657657657657658490e+00,0.000000000000000000e+00,1.342342342342341510e+00,3.423423423423415102e-01,3.423423423423415102e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.912912912912913654e+00,5.912912912912915431e+00,3.912912912912913654e+00,3.912912912912913654e+00,1.912912912912913654e+00,0.000000000000000000e+00,1.087087087087086346e+00,8.708708708708634560e-02,8.708708708708634560e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.168168168168168819e+00,6.168168168168165266e+00,4.168168168168168819e+00,4.168168168168168819e+00,2.168168168168168819e+00,1.681681681681688190e-01,8.318318318318311810e-01,1.681681681681688190e-01,1.681681681681688190e-01,1.681681681681688190e-01,0.000000000000000000e+00
8.423423423423423984e+00,6.423423423423422207e+00,4.423423423423423984e+00,4.423423423423423984e+00,2.423423423423423984e+00,4.234234234234239835e-01,5.765765765765760165e-01,4.234234234234239835e-01,4.234234234234239835e-01,4.234234234234239835e-01,0.000000000000000000e+00
8.678678678678679148e+00,6.678678678678679148e+00,4.678678678678679148e+00,4.678678678678679148e+00,2.678678678678679148e+00,6.786786786786791481e-01,3.213213213213208519e-01,3.213213213213208519e-01,3.213213213213208519e-01,3.213213213213208519e-01,0.000000000000000000e+00
8.933933933933934313e+00,6.933933933933936089e+00,4.933933933933934313e+00,4.933933933933934313e+00,2.933933933933934313e+00,9.339339339339343127e-01,6.606606606606568732e-02,6.606606606606568732e-02,6.606606606606568732e-02,6.606606606606568732e-02,0.000000000000000000e+00
9.189189189189189477e+00,7.189189189189193030e+00,5.189189189189189477e+00,5.189189189189189477e+00,3.189189189189189477e+00,1.189189189189189477e+00,1.891891891891894772e-01,1.891891891891894772e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.444444444444444642e+00,7.444444444444442865e+00,5.444444444444444642e+00,5.444444444444444642e+00,3.444444444444444642e+00,1.444444444444444642e+00,4.444444444444446418e-01,4.444444444444446418e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.699699699699699806e+00,7.699699699699699806e+00,5.699699699699699806e+00,5.699699699699699806e+00,3.699699699699699806e+00,1.300300300300300194e+00,3.003003003003001936e-01,3.003003003003001936e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.954954954954954971e+00,7.954954954954956747e+00,5.954954954954954971e+00,5.954954954954954971e+00,3.954954954954954971e+00,1.045045045045045029e+00,4.504504504504502904e-02,4.504504504504502904e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021021021021021014e+01,8.210210210210206583e+00,6.210210210210210136e+00,6.210210210210210136e+00,4.210210210210210136e+00,1.210210210210210136e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.046546546546546708e+01,8.465465465465470629e+00,6.465465465465467076e+00,6.465465465465467076e+00,4.465465465465467076e+00,1.465465465465470629e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.072072072072072224e+01,8.720720720720720465e+00,6.720720720720722241e+00,6.279279279279277759e+00,4.720720720720722241e+00,1.720720720720722241e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.097597597597597741e+01,8.975975975975977406e+00,6.975975975975977406e+00,6.024024024024022594e+00,4.975975975975977406e+00,1.975975975975977406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.123123123123123257e+01,9.231231231231234347e+00,7.231231231231232570e+00,5.768768768768767430e+00,5.231231231231232570e+00,2.231231231231234347e+00,2.312312312312325702e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.148648648648648773e+01,9.486486486486484182e+00,7.486486486486487735e+00,5.513513513513512265e+00,5.486486486486487735e+00,2.486486486486487735e+00,4.864864864864877347e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.174174174174174290e+01,9.741741741741741123e+00,7.741741741741742899e+00,5.258258258258257101e+00,5.258258258258257101e+00,2.741741741741742899e+00,2.582582582582571007e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199699699699699806e+01,9.996996996996998064e+00,7.996996996996998064e+00,5.003003003003001936e+00,5.003003003003001936e+00,2.996996996996998064e+00,3.003003003001936122e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225225225225225323e+01,1.025225225225225500e+01,8.252252252252253228e+00,4.747747747747746772e+00,4.747747747747746772e+00,3.252252252252255005e+00,2.522522522522532284e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250750750750750839e+01,1.050750750750751195e+01,8.507507507507508393e+00,4.492492492492491607e+00,4.492492492492491607e+00,3.507507507507511946e+00,5.075075075075083930e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.276276276276276356e+01,1.076276276276276178e+01,8.762762762762763558e+00,4.237237237237236442e+00,4.237237237237236442e+00,3.762762762762763558e+00,7.627627627627635576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.301801801801801872e+01,1.101801801801801872e+01,9.018018018018018722e+00,4.018018018018018722e+00,3.981981981981981278e+00,3.981981981981981278e+00,9.819819819819812778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.327327327327327389e+01,1.127327327327327566e+01,9.273273273273273887e+00,4.273273273273275663e+00,3.726726726726726113e+00,3.726726726726726113e+00,7.267267267267261133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.352852852852852905e+01,1.152852852852852550e+01,9.528528528528529051e+00,4.528528528528525499e+00,3.471471471471470949e+00,3.471471471471470949e+00,4.714714714714709487e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.378378378378378422e+01,1.178378378378378244e+01,9.783783783783784216e+00,4.783783783783782440e+00,3.216216216216215784e+00,3.216216216216215784e+00,2.162162162162157841e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.403903903903903938e+01,1.203903903903903938e+01,1.003903903903903938e+01,5.039039039039039380e+00,2.960960960960960620e+00,2.960960960960960620e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.429429429429429632e+01,1.229429429429429632e+01,1.029429429429429632e+01,5.294294294294296321e+00,2.705705705705703679e+00,2.705705705705703679e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
