x,H0_lambda_1,H0_lambda_2,H0_lambda_3,H0_lambda_4,H0_lambda_5,H1_lambda_1,H1_lambda_2,H1_lambda_3,H1_lambda_4,H1_lambda_5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552498355e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105105105105105512e-01,5.105105105105138819e-01,5.105105105105105512e-01,5.105105105105105512e-01,4.894894894894894488e-01,4.894894894894894488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.657657657657658268e-01,7.657657657657658268e-01,7.657657657657658268e-01,7.657657657657637174e-01,2.342342342342341732e-01,2.342342342342341732e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021021021021021102e+00,1.021021021021027764e+00,9.789789789789788976e-01,9.789789789789788976e-01,2.102102102102110237e-02,2.102102102102065828e-02,2.102102102102110237e-02,2.102102102102110237e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.276276276276276267e+00,1.276276276276277599e+00,7.237237237237237331e-01,7.237237237237237331e-01,2.762762762762775992e-01,2.762762762762762669e-01,2.762762762762762669e-01,2.762762762762762669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.531531531531531654e+00,1.531531531531527435e+00,5.315315315315309874e-01,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,4.684684684684683464e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.786786786786787040e+00,1.786786786786791481e+00,7.867867867867879283e-01,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,2.132132132132129598e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.042042042042042205e+00,2.042042042042041317e+00,1.042042042042041317e+00,4.204204204204220474e-02,4.204204204204220474e-02,0.000000000000000000e+00,4.204204204204220474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.297297297297297369e+00,2.297297297297298257e+00,1.297297297297298257e+00,2.972972972972973693e-01,2.972972972972973693e-01,0.000000000000000000e+00,2.972972972972973693e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552552552552552534e+00,2.552552552552555198e+00,1.552552552552551646e+00,4.474474474474474661e-01,4.474474474474474661e-01,0.000000000000000000e+00,4.474474474474474661e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.807807807807808143e+00,2.807807807807805034e+00,1.807807807807808587e+00,1.921921921921918575e-01,1.921921921921918575e-01,0.000000000000000000e+00,1.921921921921918575e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.063063063063063307e+00,3.063063063063061975e+00,2.063063063063061975e+00,6.306306306306330711e-02,6.306306306306330711e-02,6.306306306306330711e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.318318318318318472e+00,3.318318318318318916e+00,2.318318318318318916e+00,3.183183183183189158e-01,3.183183183183184717e-01,3.183183183183184717e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.573573573573574080e+00,3.573573573573575857e+00,2.573573573573575857e+00,5.735735735735758567e-01,5.735735735735740803e-01,5.735735735735740803e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.828828828828829245e+00,3.828828828828832798e+00,2.828828828828829245e+00,8.288288288288327976e-01,8.288288288288292449e-01,8.288288288288292449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.084084084084084409e+00,4.084084084084082633e+00,3.084084084084082633e+00,1.084084084084084409e+00,1.084084084084084409e+00,1.084084084084082633e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.339339339339339574e+00,4.339339339339339574e+00,3.339339339339339574e+00,1.339339339339339574e+00,1.339339339339339574e+00,1.339339339339339574e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.594594594594594739e+00,4.594594594594596515e+00,3.594594594594596515e+00,1.594594594594596515e+00,1.594594594594594739e+00,1.405405405405405261e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849849849849849903e+00,4.849849849849846350e+00,3.849849849849849903e+00,1.849849849849849903e+00,1.849849849849846350e+00,1.150150150150150097e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105105105105105068e+00,5.105105105105103291e+00,4.105105105105103291e+00,2.105105105105105068e+00,2.105105105105103291e+00,1.105105105105105068e+00,1.051051051051050678e-01,1.051051051051050678e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.360360360360361121e+00,5.360360360360360232e+00,4.360360360360360232e+00,2.360360360360361121e+00,2.360360360360360232e+00,1.360360360360361121e+00,3.603603603603611205e-01,3.603603603603611205e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.615615615615616285e+00,5.615615615615617173e+00,4.615615615615617173e+00,2.615615615615617173e+00,2.615615615615616285e+00,1.615615615615616285e+00,3.843843843843837149e-01,3.843843843843837149e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.870870870870871450e+00,5.870870870870874114e+00,4.870870870870870561e+00,2.870870870870874114e+00,2.870870870870871450e+00,1.870870870870871450e+00,1.291291291291285503e-01,1.291291291291285503e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.126126126126126614e+00,6.126126126126123950e+00,5.126126126126127502e+00,3.126126126126126614e+00,3.126126126126123950e+00,2.126126126126126614e+00,1.261261261261266142e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.381381381381381779e+00,6.381381381381380891e+00,5.381381381381380891e+00,3.381381381381381779e+00,3.381381381381380891e+00,2.381381381381381779e+00,3.813813813813817788e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.636636636636636943e+00,6.636636636636637832e+00,5.636636636636637832e+00,3.636636636636637832e+00,3.636636636636636943e+00,2.636636636636636943e+00,3.633633633633630566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.891891891891892108e+00,6.891891891891894772e+00,5.891891891891891220e+00,3.891891891891894772e+00,3.891891891891892108e+00,2.891891891891892108e+00,1.081081081081078921e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.147147147147148161e+00,7.147147147147151713e+00,6.147147147147148161e+00,4.147147147147151713e+00,3.852852852852851839e+00,3.147147147147148161e+00,1.471471471471481607e-01,1.471471471471481607e-01,1.471471471471481607e-01,1.471471471471481607e-01,1.471471471471481607e-01
7.402402402402403325e+00,7.402402402402401549e+00,6.402402402402401549e+00,4.402402402402401549e+00,3.597597597597596675e+00,3.402402402402403325e+00,4.024024024024033253e-01,4.024024024024033253e-01,4.024024024024033253e-01,4.024024024024033253e-01,4.024024024024033253e-01
7.657657657657658490e+00,7.657657657657658490e+00,6.657657657657658490e+00,4.657657657657658490e+00,3.657657657657658490e+00,3.342342342342341510e+00,6.576576576576584898e-01,3.423423423423415102e-01,3.423423423423415102e-01,3.423423423423415102e-01,3.423423423423415102e-01
7.912912912912913654e+00,7.912912912912915431e+00,6.912912912912915431e+00,4.912912912912915431e+00,3.912912912912913654e+00,3.087087087087086346e+00,9.129129129129136544e-01,8.708708708708634560e-02,8.708708708708634560e-02,8.708708708708634560e-02,8.708708708708634560e-02
8.168168168168168819e+00,8.168168168168165266e+00,7.168168168168168819e+00,5.168168168168165266e+00,4.168168168168168819e+00,3.168168168168168819e+00,8.318318318318311810e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.423423423423423984e+00,8.423423423423422207e+00,7.423423423423422207e+00,5.423423423423422207e+00,4.423423423423423984e+00,3.423423423423423984e+00,5.765765765765760165e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.678678678678679148e+00,8.678678678678679148e+00,7.678678678678679148e+00,5.678678678678679148e+00,4.678678678678679148e+00,3.678678678678679148e+00,3.213213213213208519e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.933933933933934313e+00,8.933933933933936089e+00,7.933933933933934313e+00,5.933933933933936089e+00,4.933933933933934313e+00,3.933933933933934313e+00,6.606606606606568732e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.189189189189189477e+00,9.189189189189193030e+00,8.189189189189189477e+00,6.189189189189193030e+00,5.189189189189189477e+00,3.810810810810810523e+00,1.891891891891894772e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.444444444444444642e+00,9.444444444444442865e+00,8.444444444444444642e+00,6.444444444444442865e+00,5.444444444444444642e+00,3.555555555555555358e+00,4.444444444444446418e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.699699699699699806e+00,9.699699699699699806e+00,8.699699699699699806e+00,6.699699699699699806e+00,5.699699699699699806e+00,3.699699699699699806e+00,3.003003003003001936e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.954954954954954971e+00,9.954954954954956747e+00,8.954954954954954971e+00,6.954954954954956747e+00,5.954954954954954971e+00,3.954954954954956747e+00,4.504504504504502904e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021021021021021014e+01,1.021021021021020658e+01,9.210210210210210136e+00,7.210210210210206583e+00,6.210210210210210136e+00,4.210210210210210136e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.046546546546546708e+01,1.046546546546547063e+01,9.465465465465467076e+00,7.465465465465470629e+00,6.465465465465467076e+00,4.465465465465467076e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.072072072072072224e+01,1.072072072072072046e+01,9.720720720720722241e+00,7.720720720720720465e+00,6.279279279279277759e+00,4.720720720720720465e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
