x,H0_lambda_1,H0_lambda_2,H0_lambda_3,H0_lambda_4,H0_lambda_5,H1_lambda_1,H1_lambda_2,H1_lambda_3,H1_lambda_4,H1_lambda_5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552552552552552756e-01,2.552552552552569409e-01,2.552552552552569409e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,2.552552552552552756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105105105105105512e-01,5.105105105105138819e-01,5.105105105105105512e-01,5.105105105105103291e-01,5.105105105105103291e-01,4.894894894894894488e-01,4.894894894894894488e-01,4.894894894894894488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.657657657657658268e-01,7.657657657657672701e-01,7.657657657657659378e-01,7.657657657657658268e-01,7.657657657657637174e-01,2.342342342342341732e-01,2.342342342342341732e-01,2.342342342342341732e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021021021021021102e+00,1.021021021021021102e+00,1.021021021021020658e+00,1.021021021021020658e+00,9.789789789789788976e-01,2.102102102102110237e-02,2.102102102102110237e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.276276276276276267e+00,1.276276276276277599e+00,1.276276276276277599e+00,1.276276276276276267e+00,7.237237237237237331e-01,2.762762762762762669e-01,2.762762762762762669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.531531531531531654e+00,1.531531531531534540e+00,1.531531531531531876e+00,1.531531531531530987e+00,5.315315315315318756e-01,5.315315315315318756e-01,4.684684684684683464e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.786786786786787040e+00,1.786786786786787928e+00,1.786786786786787040e+00,1.786786786786784376e+00,7.867867867867870402e-01,7.867867867867870402e-01,2.132132132132129598e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.042042042042042205e+00,2.042042042042042205e+00,2.042042042042041317e+00,2.042042042042041317e+00,1.042042042042042205e+00,1.042042042042042205e+00,4.204204204204220474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.297297297297297369e+00,2.297297297297298257e+00,2.297297297297298257e+00,2.297297297297297369e+00,1.297297297297297369e+00,1.297297297297297369e+00,2.972972972972973693e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552552552552552534e+00,2.552552552552555198e+00,2.552552552552552534e+00,2.552552552552551646e+00,1.552552552552552534e+00,1.552552552552552534e+00,4.474474474474474661e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.807807807807808143e+00,2.807807807807808587e+00,2.807807807807808143e+00,2.807807807807805034e+00,1.807807807807808143e+00,1.807807807807808143e+00,1.921921921921918575e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.063063063063063307e+00,3.063063063063063751e+00,3.063063063063063307e+00,3.063063063063061975e+00,2.063063063063063307e+00,2.063063063063063307e+00,6.306306306306330711e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.318318318318318472e+00,3.318318318318318916e+00,3.318318318318318916e+00,3.318318318318318472e+00,2.318318318318318472e+00,2.318318318318318472e+00,3.183183183183184717e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.573573573573574080e+00,3.573573573573575857e+00,3.573573573573574080e+00,3.573573573573574080e+00,2.573573573573574080e+00,2.573573573573574080e+00,4.264264264264259197e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.828828828828829245e+00,3.828828828828832798e+00,3.828828828828829245e+00,3.828828828828829245e+00,2.828828828828829245e+00,2.828828828828829245e+00,1.711711711711707551e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.084084084084084409e+00,4.084084084084084409e+00,4.084084084084082633e+00,3.915915915915915591e+00,2.915915915915915591e+00,2.915915915915915591e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.339339339339339574e+00,4.339339339339339574e+00,4.339339339339339574e+00,3.660660660660660426e+00,2.660660660660660426e+00,2.660660660660660426e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.594594594594594739e+00,4.594594594594596515e+00,4.594594594594594739e+00,3.405405405405405261e+00,2.594594594594596515e+00,2.405405405405405261e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849849849849849903e+00,4.849849849849849903e+00,4.849849849849846350e+00,3.150150150150150097e+00,2.849849849849846350e+00,2.150150150150150097e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.105105105105105068e+00,5.105105105105105068e+00,5.105105105105103291e+00,3.105105105105110397e+00,2.894894894894894932e+00,2.105105105105105068e+00,1.051051051051050678e-01,1.051051051051050678e-01,1.051051051051050678e-01,1.051051051051050678e-01,1.051051051051050678e-01
5.360360360360361121e+00,5.360360360360360232e+00,5.360360360360360232e+00,3.360360360360360232e+00,2.639639639639638879e+00,2.360360360360361121e+00,3.603603603603611205e-01,3.603603603603611205e-01,3.603603603603611205e-01,3.603603603603611205e-01,3.603603603603611205e-01
5.615615615615616285e+00,5.615615615615617173e+00,5.615615615615617173e+00,3.615615615615610068e+00,2.384384384384383715e+00,2.384384384384383715e+00,3.843843843843837149e-01,3.843843843843837149e-01,3.843843843843837149e-01,3.843843843843837149e-01,3.843843843843837149e-01
5.870870870870871450e+00,5.870870870870874114e+00,5.870870870870870561e+00,3.870870870870874114e+00,2.129129129129128550e+00,2.129129129129128550e+00,1.291291291291285503e-01,1.291291291291285503e-01,1.291291291291285503e-01,1.291291291291285503e-01,1.291291291291285503e-01
6.126126126126126614e+00,6.126126126126127502e+00,6.126126126126123950e+00,4.126126126126123950e+00,2.126126126126126614e+00,1.873873873873873386e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.381381381381381779e+00,6.381381381381380891e+00,6.381381381381380891e+00,4.381381381381387996e+00,2.381381381381381779e+00,1.618618618618618221e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.636636636636636943e+00,6.636636636636637832e+00,6.636636636636637832e+00,4.636636636636637832e+00,2.636636636636636943e+00,1.363363363363363057e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.891891891891892108e+00,6.891891891891894772e+00,6.891891891891891220e+00,4.891891891891887667e+00,2.891891891891892108e+00,1.108108108108107892e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.147147147147148161e+00,7.147147147147151713e+00,7.147147147147148161e+00,5.147147147147151713e+00,3.147147147147148161e+00,8.528528528528518393e-01,1.471471471471481607e-01,1.471471471471481607e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.402402402402403325e+00,7.402402402402403325e+00,7.402402402402401549e+00,5.402402402402401549e+00,3.402402402402403325e+00,5.975975975975966747e-01,4.024024024024033253e-01,4.024024024024033253e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.657657657657658490e+00,7.657657657657658490e+00,7.657657657657658490e+00,5.657657657657665595e+00,3.342342342342341510e+00,3.423423423423415102e-01,6.576576576576584898e-01,3.423423423423415102e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.912912912912913654e+00,7.912912912912915431e+00,7.912912912912913654e+00,5.912912912912915431e+00,3.087087087087086346e+00,8.708708708708634560e-02,9.129129129129136544e-01,8.708708708708634560e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.168168168168168819e+00,8.168168168168168819e+00,8.168168168168165266e+00,6.168168168168165266e+00,2.831831831831831181e+00,1.681681681681688190e-01,1.168168168168168819e+00,1.681681681681688190e-01,1.681681681681688190e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.423423423423423984e+00,8.423423423423423984e+00,8.423423423423422207e+00,6.423423423423429313e+00,2.576576576576576016e+00,4.234234234234239835e-01,1.423423423423423984e+00,4.234234234234239835e-01,4.234234234234239835e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.678678678678679148e+00,8.678678678678679148e+00,8.678678678678679148e+00,6.678678678678679148e+00,2.321321321321320852e+00,6.786786786786791481e-01,1.321321321321320852e+00,3.213213213213208519e-01,3.213213213213208519e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.933933933933934313e+00,8.933933933933936089e+00,8.933933933933934313e+00,6.933933933933928984e+00,2.066066066066065687e+00,9.339339339339343127e-01,1.066066066066065687e+00,6.606606606606568732e-02,6.606606606606568732e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.189189189189189477e+00,9.189189189189193030e+00,9.189189189189189477e+00,7.189189189189193030e+00,1.810810810810810523e+00,1.189189189189189477e+00,8.108108108108105228e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.444444444444444642e+00,9.444444444444444642e+00,9.444444444444442865e+00,7.444444444444442865e+00,1.555555555555555358e+00,1.444444444444444642e+00,5.555555555555553582e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.699699699699699806e+00,9.699699699699699806e+00,9.699699699699699806e+00,7.699699699699692701e+00,1.300300300300300194e+00,1.300300300300300194e+00,3.003003003003001936e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.954954954954954971e+00,9.954954954954956747e+00,9.954954954954954971e+00,7.954954954954956747e+00,1.045045045045045029e+00,1.045045045045045029e+00,4.504504504504502904e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
