arquivo,cluster
8b_H0_H1_landscape.csv,1
90a_H0_H1_landscape.csv,0
90b_H0_H1_landscape.csv,0
91a_H0_H1_landscape.csv,1
91b_H0_H1_landscape.csv,0
92a_H0_H1_landscape.csv,1
92b_H0_H1_landscape.csv,0
93a_H0_H1_landscape.csv,1
93b_H0_H1_landscape.csv,1
94a_H0_H1_landscape.csv,1
94b_H0_H1_landscape.csv,1
95a_H0_H1_landscape.csv,1
95b_H0_H1_landscape.csv,0
96a_H0_H1_landscape.csv,1
96b_H0_H1_landscape.csv,1
97a_H0_H1_landscape.csv,1
97b_H0_H1_landscape.csv,1
98a_H0_H1_landscape.csv,1
98b_H0_H1_landscape.csv,0
99a_H0_H1_landscape.csv,1
99b_H0_H1_landscape.csv,0
9a_H0_H1_landscape.csv,0
9b_H0_H1_landscape.csv,0
