arquivo,cluster,cluster_alinhado,classe_real
81a_H0_H1.csv,1,0,classeA
81b_H0_H1.csv,1,0,classeB
82a_H0_H1.csv,1,0,classeA
82b_H0_H1.csv,1,0,classeB
83a_H0_H1.csv,0,1,classeA
83b_H0_H1.csv,0,1,classeB
84a_H0_H1.csv,1,0,classeA
84b_H0_H1.csv,1,0,classeB
85a_H0_H1.csv,1,0,classeA
85b_H0_H1.csv,1,0,classeB
86a_H0_H1.csv,1,0,classeA
86b_H0_H1.csv,1,0,classeB
87a_H0_H1.csv,1,0,classeA
87b_H0_H1.csv,1,0,classeB
88a_H0_H1.csv,1,0,classeA
88b_H0_H1.csv,1,0,classeB
89a_H0_H1.csv,1,0,classeA
89b_H0_H1.csv,0,1,classeB
8a_H0_H1.csv,1,0,classeA
8b_H0_H1.csv,1,0,classeB
90a_H0_H1.csv,0,1,classeA
90b_H0_H1.csv,0,1,classeB
91a_H0_H1.csv,1,0,classeA
91b_H0_H1.csv,1,0,classeB
92a_H0_H1.csv,1,0,classeA
92b_H0_H1.csv,1,0,classeB
93a_H0_H1.csv,1,0,classeA
93b_H0_H1.csv,1,0,classeB
94a_H0_H1.csv,1,0,classeA
94b_H0_H1.csv,0,1,classeB
95a_H0_H1.csv,0,1,classeA
95b_H0_H1.csv,1,0,classeB
96a_H0_H1.csv,1,0,classeA
96b_H0_H1.csv,1,0,classeB
97a_H0_H1.csv,1,0,classeA
97b_H0_H1.csv,1,0,classeB
98a_H0_H1.csv,1,0,classeA
98b_H0_H1.csv,1,0,classeB
99a_H0_H1.csv,1,0,classeA
99b_H0_H1.csv,1,0,classeB
9a_H0_H1.csv,0,1,classeA
9b_H0_H1.csv,0,1,classeB
