Barcode 1,Barcode 2,Distância Bottleneck
22b,77a,27.000000
22b,77b,69.000000
22b,78a,21.000000
22b,78b,17.000000
22b,79a,24.000000
22b,79b,24.000000
22b,7a,29.000000
22b,7b,42.000000
22b,80a,28.000000
22b,80b,25.000000
22b,81a,29.000000
22b,81b,28.000000
22b,82a,26.000000
22b,82b,23.000000
22b,83a,22.000000
22b,83b,32.000000
22b,84a,22.000000
22b,84b,15.000000
22b,85a,29.000000
22b,85b,22.000000
22b,86a,19.000000
22b,86b,18.000000
22b,87a,28.000000
22b,87b,37.000000
22b,88a,25.000000
22b,88b,26.000000
22b,89a,21.000000
22b,89b,25.000000
22b,8a,23.000000
22b,8b,33.000000
22b,90a,39.000000
22b,90b,32.000000
22b,91a,27.000000
22b,91b,27.000000
22b,92a,22.000000
22b,92b,20.000000
22b,93a,26.000000
22b,93b,25.000000
22b,94a,20.000000
22b,94b,24.000000
22b,95a,27.000000
22b,95b,45.000000
22b,96a,42.000000
22b,96b,22.000000
22b,97a,23.000000
22b,97b,30.000000
22b,98a,39.000000
22b,98b,35.000000
22b,99a,24.000000
22b,99b,28.000000
22b,9a,18.000000
22b,9b,20.000000
23a,23b,49.000000
23a,24a,27.000000
23a,24b,52.000000
23a,25a,47.000000
23a,25b,56.000000
23a,26a,50.000000
23a,26b,31.000000
23a,27a,49.000000
23a,27b,29.000000
23a,28a,52.000000
23a,28b,53.000000
23a,29a,37.000000
23a,29b,52.000000
23a,2a,50.000000
23a,2b,50.000000
23a,30a,38.000000
23a,30b,47.000000
23a,31a,47.000000
23a,31b,52.000000
23a,32a,52.000000
23a,32b,51.000000
23a,33a,53.000000
23a,33b,53.000000
23a,34a,55.000000
23a,34b,57.000000
23a,35a,50.000000
23a,35b,56.000000
23a,36a,44.000000
23a,36b,25.000000
23a,37a,39.000000
23a,37b,38.000000
23a,38a,56.000000
23a,38b,56.000000
23a,39a,42.000000
23a,39b,51.000000
23a,3a,51.000000
23a,3b,50.000000
23a,40a,51.000000
23a,40b,32.000000
23a,41a,51.000000
23a,41b,54.000000
23a,42a,56.000000
23a,42b,55.000000
23a,43a,52.000000
23a,43b,54.000000
23a,44a,51.000000
23a,44b,46.000000
23a,45a,37.000000
23a,45b,54.000000
23a,46a,53.000000
23a,46b,48.000000
23a,47a,56.000000
23a,47b,46.000000
23a,48a,52.000000
23a,48b,41.000000
23a,49a,50.000000
23a,49b,52.000000
23a,4a,49.000000
23a,4b,39.000000
23a,50a,53.000000
23a,50b,41.000000
23a,51a,46.000000
23a,51b,56.000000
23a,52a,52.000000
23a,52b,44.000000
23a,53a,50.000000
23a,53b,44.000000
23a,54a,56.000000
23a,54b,57.000000
23a,55a,45.000000
23a,55b,49.000000
23a,56a,49.000000
23a,56b,38.000000
23a,57a,43.000000
23a,57b,33.000000
23a,58a,57.000000
23a,58b,53.000000
23a,59a,53.000000
23a,59b,46.000000
23a,5a,37.000000
23a,5b,39.000000
23a,60a,48.000000
23a,60b,40.000000
23a,61a,38.000000
23a,61b,27.000000
23a,62a,52.000000
23a,62b,54.000000
23a,63a,53.000000
23a,63b,47.000000
23a,64a,56.000000
23a,64b,48.000000
23a,65a,52.000000
23a,65b,37.000000
23a,66a,54.000000
23a,66b,53.000000
23a,67a,56.000000
23a,67b,52.000000
23a,68a,39.000000
23a,68b,57.000000
23a,69a,49.000000
23a,69b,51.000000
23a,6a,53.000000
23a,6b,51.000000
23a,70a,51.000000
23a,70b,35.000000
23a,71a,53.000000
23a,71b,38.000000
23a,72a,53.000000
23a,72b,51.000000
23a,73a,52.000000
23a,73b,41.000000
23a,74a,39.000000
23a,74b,53.000000
23a,75a,43.000000
23a,75b,48.000000
23a,76a,57.000000
23a,76b,55.000000
23a,77a,49.000000
23a,77b,40.000000
23a,78a,46.000000
23a,78b,48.000000
23a,79a,53.000000
23a,79b,50.000000
23a,7a,39.000000
23a,7b,49.000000
23a,80a,45.000000
23a,80b,47.000000
23a,81a,51.000000
23a,81b,50.000000
23a,82a,55.000000
23a,82b,41.000000
23a,83a,53.000000
23a,83b,49.000000
23a,84a,50.000000
23a,84b,54.000000
23a,85a,50.000000
23a,85b,51.000000
23a,86a,56.000000
23a,86b,56.000000
23a,87a,33.000000
23a,87b,38.000000
23a,88a,53.000000
23a,88b,50.000000
23a,89a,37.000000
23a,89b,43.000000
23a,8a,44.000000
23a,8b,28.000000
23a,90a,36.000000
23a,90b,31.000000
23a,91a,50.000000
23a,91b,48.000000
23a,92a,49.000000
23a,92b,56.000000
23a,93a,54.000000
23a,93b,53.000000
23a,94a,57.000000
23a,94b,53.000000
23a,95a,57.000000
23a,95b,52.000000
23a,96a,50.000000
23a,96b,30.000000
23a,97a,39.000000
23a,97b,41.000000
23a,98a,48.000000
23a,98b,50.000000
23a,99a,45.000000
23a,99b,56.000000
23a,9a,51.000000
23a,9b,53.000000
23b,24a,36.000000
23b,24b,45.000000
23b,25a,36.000000
23b,25b,20.000000
23b,26a,36.000000
23b,26b,33.000000
23b,27a,28.000000
23b,27b,30.000000
23b,28a,32.000000
23b,28b,20.000000
23b,29a,31.000000
23b,29b,21.000000
23b,2a,29.000000
23b,2b,27.000000
23b,30a,30.000000
23b,30b,35.000000
23b,31a,32.000000
23b,31b,24.000000
23b,32a,32.000000
23b,32b,32.000000
23b,33a,26.000000
23b,33b,21.000000
23b,34a,30.000000
23b,34b,25.000000
23b,35a,24.000000
23b,35b,34.000000
23b,36a,20.000000
23b,36b,47.000000
23b,37a,34.000000
23b,37b,21.000000
23b,38a,35.000000
23b,38b,18.000000
23b,39a,34.000000
23b,39b,19.000000
23b,3a,31.000000
23b,3b,36.000000
23b,40a,27.000000
23b,40b,30.000000
23b,41a,21.000000
23b,41b,59.000000
23b,42a,23.000000
23b,42b,32.000000
23b,43a,34.000000
23b,43b,21.000000
23b,44a,29.000000
23b,44b,28.000000
23b,45a,30.000000
23b,45b,24.000000
23b,46a,36.000000
23b,46b,35.000000
23b,47a,29.000000
23b,47b,33.000000
23b,48a,33.000000
23b,48b,26.000000
23b,49a,27.000000
23b,49b,21.000000
23b,4a,34.000000
23b,4b,25.000000
23b,50a,36.000000
23b,50b,27.000000
23b,51a,26.000000
23b,51b,30.000000
23b,52a,15.000000
23b,52b,27.000000
23b,53a,32.000000
23b,53b,23.000000
23b,54a,25.000000
23b,54b,29.000000
23b,55a,36.000000
23b,55b,36.000000
23b,56a,38.000000
23b,56b,39.000000
23b,57a,23.000000
23b,57b,40.000000
23b,58a,32.000000
23b,58b,33.000000
23b,59a,36.000000
23b,59b,44.000000
23b,5a,30.000000
23b,5b,29.000000
23b,60a,26.000000
23b,60b,36.000000
23b,61a,28.000000
23b,61b,48.000000
23b,62a,35.000000
23b,62b,14.000000
23b,63a,36.000000
23b,63b,37.000000
23b,64a,31.000000
23b,64b,46.000000
23b,65a,41.000000
23b,65b,86.000000
23b,66a,27.000000
23b,66b,29.000000
23b,67a,29.000000
23b,67b,19.000000
23b,68a,33.000000
23b,68b,27.000000
23b,69a,17.000000
23b,69b,34.000000
23b,6a,26.000000
23b,6b,25.000000
23b,70a,27.000000
23b,70b,29.000000
23b,71a,31.000000
23b,71b,26.000000
23b,72a,38.000000
23b,72b,21.000000
23b,73a,30.000000
23b,73b,33.000000
23b,74a,25.000000
23b,74b,36.000000
23b,75a,39.000000
23b,75b,36.000000
23b,76a,28.000000
23b,76b,18.000000
23b,77a,27.000000
23b,77b,76.000000
23b,78a,29.000000
23b,78b,23.000000
23b,79a,32.000000
23b,79b,26.000000
23b,7a,36.000000
23b,7b,41.000000
23b,80a,32.000000
23b,80b,36.000000
23b,81a,21.000000
23b,81b,27.000000
23b,82a,32.000000
23b,82b,30.000000
23b,83a,36.000000
23b,83b,19.000000
23b,84a,33.000000
23b,84b,31.000000
23b,85a,23.000000
23b,85b,36.000000
23b,86a,29.000000
23b,86b,26.000000
23b,87a,32.000000
23b,87b,20.000000
23b,88a,36.000000
23b,88b,32.000000
23b,89a,31.000000
23b,89b,26.000000
23b,8a,26.000000
23b,8b,35.000000
23b,90a,28.000000
23b,90b,31.000000
23b,91a,24.000000
23b,91b,30.000000
23b,92a,33.000000
23b,92b,17.000000
23b,93a,31.000000
23b,93b,21.000000
23b,94a,34.000000
23b,94b,35.000000
23b,95a,26.000000
23b,95b,44.000000
23b,96a,45.000000
23b,96b,21.000000
23b,97a,30.000000
23b,97b,23.000000
23b,98a,42.000000
23b,98b,28.000000
23b,99a,28.000000
23b,99b,33.000000
23b,9a,34.000000
23b,9b,26.000000
24a,24b,54.000000
24a,25a,41.000000
24a,25b,35.000000
24a,26a,36.000000
24a,26b,38.000000
24a,27a,32.000000
24a,27b,18.000000
24a,28a,30.000000
24a,28b,40.000000
24a,29a,25.000000
24a,29b,32.000000
24a,2a,31.000000
24a,2b,33.000000
24a,30a,25.000000
24a,30b,31.000000
24a,31a,36.000000
24a,31b,35.000000
24a,32a,31.000000
24a,32b,32.000000
24a,33a,40.000000
24a,33b,30.000000
24a,34a,37.000000
24a,34b,37.000000
24a,35a,37.000000
24a,35b,40.000000
24a,36a,28.000000
24a,36b,31.000000
24a,37a,30.000000
24a,37b,22.000000
24a,38a,38.000000
24a,38b,40.000000
24a,39a,29.000000
24a,39b,36.000000
24a,3a,36.000000
24a,3b,33.000000
24a,40a,30.000000
24a,40b,29.000000
24a,41a,31.000000
24a,41b,56.000000
24a,42a,33.000000
24a,42b,39.000000
24a,43a,39.000000
24a,43b,38.000000
24a,44a,37.000000
24a,44b,27.000000
24a,45a,26.000000
24a,45b,39.000000
24a,46a,35.000000
24a,46b,25.000000
24a,47a,40.000000
24a,47b,41.000000
24a,48a,33.000000
24a,48b,36.000000
24a,49a,31.000000
24a,49b,38.000000
24a,4a,26.000000
24a,4b,38.000000
24a,50a,39.000000
24a,50b,23.000000
24a,51a,39.000000
24a,51b,38.000000
24a,52a,38.000000
24a,52b,31.000000
24a,53a,36.000000
24a,53b,33.000000
24a,54a,37.000000
24a,54b,38.000000
24a,55a,38.000000
24a,55b,43.000000
24a,56a,30.000000
24a,56b,32.000000
24a,57a,35.000000
24a,57b,27.000000
24a,58a,39.000000
24a,58b,30.000000
24a,59a,35.000000
24a,59b,45.000000
24a,5a,31.000000
24a,5b,28.000000
24a,60a,40.000000
24a,60b,33.000000
24a,61a,28.000000
24a,61b,45.000000
24a,62a,36.000000
24a,62b,40.000000
24a,63a,40.000000
24a,63b,41.000000
24a,64a,33.000000
24a,64b,37.000000
24a,65a,40.000000
24a,65b,60.000000
24a,66a,31.000000
24a,66b,40.000000
24a,67a,39.000000
24a,67b,38.000000
24a,68a,30.000000
24a,68b,40.000000
24a,69a,37.000000
24a,69b,35.000000
24a,6a,38.000000
24a,6b,37.000000
24a,70a,35.000000
24a,70b,38.000000
24a,71a,30.000000
24a,71b,35.000000
24a,72a,47.000000
24a,72b,36.000000
24a,73a,34.000000
24a,73b,29.000000
24a,74a,25.000000
24a,74b,36.000000
24a,75a,32.000000
24a,75b,32.000000
24a,76a,39.000000
24a,76b,36.000000
24a,77a,26.000000
24a,77b,48.000000
24a,78a,38.000000
24a,78b,37.000000
24a,79a,40.000000
24a,79b,37.000000
24a,7a,33.000000
24a,7b,40.000000
24a,80a,34.000000
24a,80b,27.000000
24a,81a,34.000000
24a,81b,30.000000
24a,82a,34.000000
24a,82b,24.000000
24a,83a,39.000000
24a,83b,36.000000
24a,84a,36.000000
24a,84b,33.000000
24a,85a,37.000000
24a,85b,40.000000
24a,86a,35.000000
24a,86b,40.000000
24a,87a,40.000000
24a,87b,34.000000
24a,88a,37.000000
24a,88b,33.000000
24a,89a,26.000000
24a,89b,20.000000
24a,8a,33.000000
24a,8b,24.000000
24a,90a,33.000000
24a,90b,29.000000
24a,91a,39.000000
24a,91b,37.000000
24a,92a,26.000000
24a,92b,40.000000
24a,93a,33.000000
24a,93b,34.000000
24a,94a,40.000000
24a,94b,40.000000
24a,95a,40.000000
24a,95b,36.000000
24a,96a,54.000000
24a,96b,20.500000
24a,97a,26.000000
24a,97b,25.000000
24a,98a,39.000000
24a,98b,29.000000
24a,99a,34.000000
24a,99b,37.000000
24a,9a,34.000000
24a,9b,37.000000
24b,25a,44.000000
24b,25b,49.000000
24b,26a,36.000000
24b,26b,37.000000
24b,27a,56.000000
24b,27b,55.000000
24b,28a,53.000000
24b,28b,52.000000
24b,29a,51.000000
24b,29b,43.000000
24b,2a,53.000000
24b,2b,50.000000
24b,30a,42.000000
24b,30b,34.000000
24b,31a,52.000000
24b,31b,48.000000
24b,32a,48.000000
24b,32b,44.000000
24b,33a,62.000000
24b,33b,42.000000
24b,34a,43.000000
24b,34b,56.000000
24b,35a,58.000000
24b,35b,38.000000
24b,36a,53.000000
24b,36b,45.000000
24b,37a,40.000000
24b,37b,42.000000
24b,38a,44.000000
24b,38b,49.000000
24b,39a,34.000000
24b,39b,61.000000
24b,3a,32.000000
24b,3b,31.000000
24b,40a,32.000000
24b,40b,40.000000
24b,41a,40.000000
24b,41b,46.000000
24b,42a,58.000000
24b,42b,40.000000
24b,43a,33.000000
24b,43b,51.000000
24b,44a,46.000000
24b,44b,49.000000
24b,45a,46.000000
24b,45b,51.000000
24b,46a,45.000000
24b,46b,37.000000
24b,47a,64.000000
24b,47b,28.000000
24b,48a,39.000000
24b,48b,21.000000
24b,49a,66.000000
24b,49b,56.000000
24b,4a,34.000000
24b,4b,30.000000
24b,50a,31.000000
24b,50b,33.000000
24b,51a,48.000000
24b,51b,38.000000
24b,52a,40.000000
24b,52b,45.000000
24b,53a,40.000000
24b,53b,34.000000
24b,54a,52.000000
24b,54b,67.000000
24b,55a,48.000000
24b,55b,41.000000
24b,56a,64.000000
24b,56b,33.000000
24b,57a,41.000000
24b,57b,32.000000
24b,58a,40.000000
24b,58b,51.000000
24b,59a,49.000000
24b,59b,41.000000
24b,5a,42.000000
24b,5b,57.000000
24b,60a,36.000000
24b,60b,35.000000
24b,61a,48.000000
24b,61b,30.000000
24b,62a,39.000000
24b,62b,42.000000
24b,63a,32.000000
24b,63b,37.000000
24b,64a,54.000000
24b,64b,29.000000
24b,65a,47.000000
24b,65b,55.000000
24b,66a,45.000000
24b,66b,45.000000
24b,67a,57.000000
24b,67b,50.000000
24b,68a,69.000000
24b,68b,59.000000
24b,69a,47.000000
24b,69b,46.000000
24b,6a,47.000000
24b,6b,47.000000
24b,70a,45.000000
24b,70b,30.000000
24b,71a,62.000000
24b,71b,31.000000
24b,72a,31.000000
24b,72b,48.000000
24b,73a,42.000000
24b,73b,43.000000
24b,74a,52.000000
24b,74b,31.000000
24b,75a,39.000000
24b,75b,34.000000
24b,76a,67.000000
24b,76b,49.000000
24b,77a,35.000000
24b,77b,56.000000
24b,78a,38.000000
24b,78b,51.000000
24b,79a,49.000000
24b,79b,57.000000
24b,7a,44.000000
24b,7b,45.000000
24b,80a,36.000000
24b,80b,35.000000
24b,81a,44.000000
24b,81b,45.000000
24b,82a,48.000000
24b,82b,42.000000
24b,83a,37.000000
24b,83b,61.000000
24b,84a,39.000000
24b,84b,41.000000
24b,85a,58.000000
24b,85b,51.000000
24b,86a,49.000000
24b,86b,54.000000
24b,87a,26.000000
24b,87b,37.000000
24b,88a,29.000000
24b,88b,31.000000
24b,89a,55.000000
24b,89b,54.000000
24b,8a,50.000000
24b,8b,44.000000
24b,90a,44.000000
24b,90b,39.000000
24b,91a,58.000000
24b,91b,50.000000
24b,92a,44.000000
24b,92b,53.000000
24b,93a,60.000000
24b,93b,48.000000
24b,94a,45.000000
24b,94b,37.000000
24b,95a,39.000000
24b,95b,51.000000
24b,96a,41.000000
24b,96b,57.000000
24b,97a,44.000000
24b,97b,67.000000
24b,98a,43.000000
24b,98b,73.000000
24b,99a,35.000000
24b,99b,38.000000
24b,9a,54.000000
24b,9b,40.000000
25a,25b,47.000000
25a,26a,29.000000
25a,26b,38.000000
25a,27a,43.000000
25a,27b,42.000000
25a,28a,21.000000
25a,28b,39.000000
25a,29a,38.000000
25a,29b,44.000000
25a,2a,40.000000
25a,2b,37.000000
25a,30a,29.000000
25a,30b,35.000000
25a,31a,28.000000
25a,31b,35.000000
25a,32a,27.000000
25a,32b,27.000000
25a,33a,49.000000
25a,33b,38.000000
25a,34a,30.000000
25a,34b,43.000000
25a,35a,51.000000
25a,35b,35.000000
25a,36a,41.000000
25a,36b,46.000000
25a,37a,28.000000
25a,37b,29.000000
25a,38a,24.000000
25a,38b,38.000000
25a,39a,18.000000
25a,39b,48.000000
25a,3a,29.000000
25a,3b,29.000000
25a,40a,23.000000
25a,40b,25.000000
25a,41a,30.000000
25a,41b,57.000000
25a,42a,45.000000
25a,42b,27.000000
25a,43a,23.000000
25a,43b,38.000000
25a,44a,31.000000
25a,44b,36.000000
25a,45a,29.000000
25a,45b,38.000000
25a,46a,19.000000
25a,46b,24.000000
25a,47a,51.000000
25a,47b,37.000000
25a,48a,26.000000
25a,48b,30.000000
25a,49a,53.000000
25a,49b,46.000000
25a,4a,22.000000
25a,4b,29.000000
25a,50a,34.000000
25a,50b,27.000000
25a,51a,23.000000
25a,51b,24.000000
25a,52a,31.000000
25a,52b,32.000000
25a,53a,29.000000
25a,53b,34.000000
25a,54a,39.000000
25a,54b,64.000000
25a,55a,31.500000
25a,55b,29.000000
25a,56a,51.000000
25a,56b,41.000000
25a,57a,19.000000
25a,57b,34.000000
25a,58a,27.000000
25a,58b,38.000000
25a,59a,42.500000
25a,59b,46.000000
25a,5a,43.000000
25a,5b,44.000000
25a,60a,26.000000
25a,60b,39.000000
25a,61a,36.000000
25a,61b,36.000000
25a,62a,19.500000
25a,62b,29.000000
25a,63a,34.000000
25a,63b,31.000000
25a,64a,41.000000
25a,64b,41.000000
25a,65a,41.000000
25a,65b,68.000000
25a,66a,32.000000
25a,66b,30.000000
25a,67a,44.000000
25a,67b,37.000000
25a,68a,57.000000
25a,68b,46.000000
25a,69a,33.000000
25a,69b,18.000000
25a,6a,38.000000
25a,6b,48.000000
25a,70a,32.000000
25a,70b,31.000000
25a,71a,49.000000
25a,71b,29.000000
25a,72a,21.000000
25a,72b,39.000000
25a,73a,31.000000
25a,73b,26.000000
25a,74a,39.000000
25a,74b,24.000000
25a,75a,33.000000
25a,75b,33.000000
25a,76a,56.000000
25a,76b,37.000000
25a,77a,22.000000
25a,77b,69.000000
25a,78a,20.000000
25a,78b,38.000000
25a,79a,21.000000
25a,79b,44.000000
25a,7a,22.000000
25a,7b,49.000000
25a,80a,23.000000
25a,80b,22.000000
25a,81a,29.000000
25a,81b,32.000000
25a,82a,27.000000
25a,82b,29.000000
25a,83a,19.000000
25a,83b,51.000000
25a,84a,28.000000
25a,84b,28.000000
25a,85a,51.000000
25a,85b,22.000000
25a,86a,36.000000
25a,86b,41.000000
25a,87a,33.000000
25a,87b,37.000000
25a,88a,28.000000
25a,88b,38.000000
25a,89a,42.000000
25a,89b,41.000000
25a,8a,35.000000
25a,8b,31.000000
25a,90a,36.000000
25a,90b,32.000000
25a,91a,45.000000
25a,91b,29.000000
25a,92a,31.000000
25a,92b,43.000000
25a,93a,47.000000
25a,93b,35.000000
25a,94a,25.000000
25a,94b,31.000000
25a,95a,26.000000
25a,95b,38.000000
25a,96a,17.000000
25a,96b,48.000000
25a,97a,15.500000
25a,97b,54.000000
25a,98a,39.000000
25a,98b,60.000000
25a,99a,24.000000
25a,99b,25.000000
25a,9a,20.000000
25a,9b,27.000000
25b,26a,35.000000
25b,26b,37.000000
25b,27a,17.000000
25b,27b,29.000000
25b,28a,34.000000
25b,28b,25.000000
25b,29a,29.000000
25b,29b,16.000000
25b,2a,22.000000
25b,2b,24.000000
25b,30a,32.000000
25b,30b,37.000000
25b,31a,27.000000
25b,31b,25.000000
25b,32a,28.000000
25b,32b,28.000000
25b,33a,20.000000
25b,33b,17.000000
25b,34a,27.000000
25b,34b,25.000000
25b,35a,20.000000
25b,35b,30.000000
25b,36a,21.000000
25b,36b,42.000000
25b,37a,42.000000
25b,37b,28.000000
25b,38a,31.000000
25b,38b,22.000000
25b,39a,43.000000
25b,39b,17.000000
25b,3a,36.000000
25b,3b,37.000000
25b,40a,26.000000
25b,40b,30.000000
25b,41a,28.000000
25b,41b,60.000000
25b,42a,17.000000
25b,42b,28.000000
25b,43a,35.000000
25b,43b,23.000000
25b,44a,24.000000
25b,44b,28.000000
25b,45a,26.000000
25b,45b,28.000000
25b,46a,43.000000
25b,46b,31.000000
25b,47a,26.000000
25b,47b,40.000000
25b,48a,29.000000
25b,48b,35.000000
25b,49a,25.000000
25b,49b,22.000000
25b,4a,38.000000
25b,4b,29.000000
25b,50a,40.000000
25b,50b,27.000000
25b,51a,37.000000
25b,51b,31.000000
25b,52a,24.000000
25b,52b,23.000000
25b,53a,31.000000
25b,53b,29.000000
25b,54a,26.000000
25b,54b,21.000000
25b,55a,47.000000
25b,55b,47.000000
25b,56a,30.000000
25b,56b,39.000000
25b,57a,34.000000
25b,57b,41.000000
25b,58a,33.000000
25b,58b,25.000000
25b,59a,42.000000
25b,59b,49.000000
25b,5a,27.000000
25b,5b,24.000000
25b,60a,26.000000
25b,60b,33.000000
25b,61a,32.000000
25b,61b,52.000000
25b,62a,46.000000
25b,62b,18.000000
25b,63a,38.000000
25b,63b,45.000000
25b,64a,24.000000
25b,64b,45.000000
25b,65a,42.500000
25b,65b,93.000000
25b,66a,34.000000
25b,66b,25.000000
25b,67a,22.000000
25b,67b,24.000000
25b,68a,25.000000
25b,68b,22.000000
25b,69a,22.000000
25b,69b,38.000000
25b,6a,24.000000
25b,6b,22.000000
25b,70a,23.000000
25b,70b,33.000000
25b,71a,23.000000
25b,71b,30.000000
25b,72a,47.000000
25b,72b,17.000000
25b,73a,37.000000
25b,73b,29.000000
25b,74a,18.000000
25b,74b,37.000000
25b,75a,39.000000
25b,75b,34.000000
25b,76a,21.000000
25b,76b,14.000000
25b,77a,33.000000
25b,77b,72.000000
25b,78a,40.000000
25b,78b,28.000000
25b,79a,34.000000
25b,79b,18.000000
25b,7a,47.000000
25b,7b,48.000000
25b,80a,32.000000
25b,80b,33.000000
25b,81a,26.000000
25b,81b,23.000000
25b,82a,28.000000
25b,82b,27.000000
25b,83a,36.000000
25b,83b,17.000000
25b,84a,40.000000
25b,84b,27.000000
25b,85a,25.000000
25b,85b,36.000000
25b,86a,22.000000
25b,86b,22.000000
25b,87a,35.000000
25b,87b,23.000000
25b,88a,39.000000
25b,88b,33.000000
25b,89a,24.000000
25b,89b,25.000000
25b,8a,22.000000
25b,8b,30.000000
25b,90a,33.000000
25b,90b,38.000000
25b,91a,27.000000
25b,91b,30.000000
25b,92a,27.000000
25b,92b,17.000000
25b,93a,26.000000
25b,93b,24.000000
25b,94a,30.000000
25b,94b,37.000000
25b,95a,32.000000
25b,95b,44.000000
25b,96a,49.000000
25b,96b,27.000000
25b,97a,40.000000
25b,97b,26.000000
25b,98a,42.000000
25b,98b,24.000000
25b,99a,39.000000
25b,99b,30.000000
25b,9a,42.000000
25b,9b,28.000000
26a,26b,38.000000
26a,27a,36.000000
26a,27b,34.000000
26a,28a,37.000000
26a,28b,33.000000
26a,29a,35.000000
26a,29b,32.000000
26a,2a,31.000000
26a,2b,35.000000
26a,30a,29.000000
26a,30b,32.000000
26a,31a,34.000000
26a,31b,34.000000
26a,32a,33.000000
26a,32b,36.000000
26a,33a,28.000000
26a,33b,37.000000
26a,34a,37.000000
26a,34b,36.000000
26a,35a,35.000000
26a,35b,37.000000
26a,36a,38.000000
26a,36b,49.000000
26a,37a,33.000000
26a,37b,36.000000
26a,38a,37.000000
26a,38b,35.000000
26a,39a,34.000000
26a,39b,37.000000
26a,3a,37.000000
26a,3b,33.000000
26a,40a,29.000000
26a,40b,29.000000
26a,41a,32.000000
26a,41b,59.000000
26a,42a,35.000000
26a,42b,37.000000
26a,43a,35.000000
26a,43b,27.000000
26a,44a,37.000000
26a,44b,35.000000
26a,45a,28.000000
26a,45b,34.000000
26a,46a,30.000000
26a,46b,30.000000
26a,47a,37.000000
26a,47b,32.000000
26a,48a,34.000000
26a,48b,32.000000
26a,49a,36.000000
26a,49b,37.000000
26a,4a,35.000000
26a,4b,31.000000
26a,50a,33.000000
26a,50b,36.000000
26a,51a,31.000000
26a,51b,26.000000
26a,52a,33.000000
26a,52b,37.000000
26a,53a,27.000000
26a,53b,30.000000
26a,54a,31.000000
26a,54b,41.000000
26a,55a,25.000000
26a,55b,36.000000
26a,56a,32.000000
26a,56b,44.000000
26a,57a,36.000000
26a,57b,42.000000
26a,58a,35.000000
26a,58b,37.000000
26a,59a,37.000000
26a,59b,49.000000
26a,5a,36.000000
26a,5b,37.000000
26a,60a,29.000000
26a,60b,41.000000
26a,61a,36.000000
26a,61b,39.000000
26a,62a,32.000000
26a,62b,37.000000
26a,63a,34.000000
26a,63b,36.000000
26a,64a,25.000000
26a,64b,48.000000
26a,65a,22.000000
26a,65b,87.000000
26a,66a,26.000000
26a,66b,35.000000
26a,67a,27.000000
26a,67b,35.000000
26a,68a,34.000000
26a,68b,37.000000
26a,69a,37.000000
26a,69b,36.000000
26a,6a,34.000000
26a,6b,36.000000
26a,70a,32.000000
26a,70b,34.000000
26a,71a,35.000000
26a,71b,31.000000
26a,72a,29.000000
26a,72b,37.000000
26a,73a,30.000000
26a,73b,36.000000
26a,74a,28.000000
26a,74b,37.000000
26a,75a,36.000000
26a,75b,35.000000
26a,76a,36.000000
26a,76b,34.000000
26a,77a,33.000000
26a,77b,77.000000
26a,78a,34.000000
26a,78b,36.000000
26a,79a,34.000000
26a,79b,35.000000
26a,7a,36.000000
26a,7b,43.000000
26a,80a,33.000000
26a,80b,32.000000
26a,81a,29.000000
26a,81b,37.000000
26a,82a,35.000000
26a,82b,37.000000
26a,83a,36.000000
26a,83b,38.000000
26a,84a,37.000000
26a,84b,36.000000
26a,85a,37.000000
26a,85b,37.000000
26a,86a,36.000000
26a,86b,36.000000
26a,87a,36.000000
26a,87b,37.000000
26a,88a,35.000000
26a,88b,35.000000
26a,89a,35.000000
26a,89b,35.000000
26a,8a,32.000000
26a,8b,37.000000
26a,90a,39.000000
26a,90b,35.000000
26a,91a,36.000000
26a,91b,27.000000
26a,92a,35.000000
26a,92b,37.000000
26a,93a,32.000000
26a,93b,37.000000
26a,94a,33.000000
26a,94b,34.000000
26a,95a,29.000000
26a,95b,43.000000
26a,96a,36.000000
26a,96b,37.000000
26a,97a,25.000000
26a,97b,35.000000
26a,98a,44.500000
26a,98b,41.000000
26a,99a,27.000000
26a,99b,37.000000
26a,9a,32.000000
26a,9b,34.000000
26b,27a,26.000000
26b,27b,30.000000
26b,28a,35.000000
26b,28b,40.000000
26b,29a,36.000000
26b,29b,25.000000
26b,2a,41.000000
26b,2b,32.000000
26b,30a,35.000000
26b,30b,38.000000
26b,31a,48.000000
26b,31b,36.000000
26b,32a,38.000000
26b,32b,33.000000
26b,33a,49.000000
26b,33b,30.000000
26b,34a,38.000000
26b,34b,41.000000
26b,35a,40.000000
26b,35b,27.000000
26b,36a,41.000000
26b,36b,41.000000
26b,37a,31.000000
26b,37b,32.000000
26b,38a,38.000000
26b,38b,29.000000
26b,39a,36.000000
26b,39b,48.000000
26b,3a,32.000000
26b,3b,29.000000
26b,40a,30.000000
26b,40b,32.000000
26b,41a,30.000000
26b,41b,53.000000
26b,42a,28.000000
26b,42b,37.000000
26b,43a,36.000000
26b,43b,31.000000
26b,44a,33.000000
26b,44b,37.000000
26b,45a,36.000000
26b,45b,39.000000
26b,46a,38.000000
26b,46b,38.000000
26b,47a,46.000000
26b,47b,28.000000
26b,48a,38.000000
26b,48b,29.000000
26b,49a,37.000000
26b,49b,33.000000
26b,4a,36.000000
26b,4b,32.000000
26b,50a,36.000000
26b,50b,30.000000
26b,51a,29.000000
26b,51b,32.000000
