Barcode 1,Barcode 2,Distância Bottleneck
100b,34b,16.000000
100b,35a,21.000000
100b,35b,15.000000
100b,36a,36.000000
100b,36b,49.000000
100b,37a,32.000000
100b,37b,26.000000
100b,38a,18.000000
100b,38b,35.000000
100b,39a,18.000000
100b,39b,27.000000
100b,3a,24.000000
100b,3b,23.000000
100b,40a,31.000000
100b,40b,30.000000
100b,41a,22.000000
100b,41b,50.000000
100b,42a,25.000000
100b,42b,34.000000
100b,43a,22.000000
100b,43b,22.000000
100b,44a,20.000000
100b,44b,29.500000
100b,45a,28.000000
100b,45b,25.000000
100b,46a,19.500000
100b,46b,30.000000
100b,47a,21.000000
100b,47b,25.000000
100b,48a,28.000000
100b,48b,28.000000
100b,49a,27.000000
100b,49b,20.000000
100b,4a,27.000000
100b,4b,26.000000
100b,50a,17.000000
100b,50b,27.000000
100b,51a,25.000000
100b,51b,29.000000
100b,52a,28.000000
100b,52b,26.000000
100b,53a,28.000000
100b,53b,34.000000
100b,54a,19.000000
100b,54b,45.000000
100b,55a,33.000000
100b,55b,34.000000
100b,56a,38.000000
100b,56b,41.000000
100b,57a,19.000000
100b,57b,41.000000
100b,58a,21.000000
100b,58b,19.000000
100b,59a,36.000000
100b,59b,42.000000
100b,5a,35.000000
100b,5b,28.000000
100b,60a,24.000000
100b,60b,33.000000
100b,61a,33.000000
100b,61b,46.000000
100b,62a,21.000000
100b,62b,26.000000
100b,63a,22.000000
100b,63b,35.000000
100b,64a,18.000000
100b,64b,46.000000
100b,65a,42.000000
100b,65b,92.000000
100b,66a,17.000000
100b,66b,22.000000
100b,67a,20.000000
100b,67b,23.000000
100b,68a,27.000000
100b,68b,25.000000
100b,69a,34.000000
100b,69b,31.000000
100b,6a,21.000000
100b,6b,22.000000
100b,70a,21.000000
100b,70b,29.000000
100b,71a,31.000000
100b,71b,27.000000
100b,72a,36.000000
100b,72b,18.000000
100b,73a,20.000000
100b,73b,17.000000
100b,74a,29.000000
100b,74b,19.000000
100b,75a,42.000000
100b,75b,25.000000
100b,76a,26.000000
100b,76b,32.000000
100b,77a,29.000000
100b,77b,76.000000
100b,78a,19.000000
100b,78b,19.000000
100b,79a,27.000000
100b,79b,34.000000
100b,7a,38.000000
100b,7b,38.000000
100b,80a,17.000000
100b,80b,22.000000
100b,81a,27.000000
100b,81b,25.000000
100b,82a,22.000000
100b,82b,30.000000
100b,83a,20.000000
100b,83b,31.000000
100b,84a,25.000000
100b,84b,20.000000
100b,85a,21.000000
100b,85b,27.000000
100b,86a,22.000000
100b,86b,24.000000
100b,87a,29.000000
100b,87b,28.000000
100b,88a,18.000000
100b,88b,36.000000
100b,89a,22.000000
100b,89b,28.000000
100b,8a,28.000000
100b,8b,38.000000
100b,90a,32.000000
100b,90b,37.000000
100b,91a,18.000000
100b,91b,28.000000
100b,92a,23.000000
100b,92b,21.000000
100b,93a,20.000000
100b,93b,24.000000
100b,94a,19.000000
100b,94b,17.000000
100b,95a,22.000000
100b,95b,47.000000
100b,96a,43.000000
100b,96b,33.000000
100b,97a,20.000000
100b,97b,28.000000
100b,98a,42.000000
100b,98b,34.000000
100b,99a,17.000000
100b,99b,21.000000
100b,9a,35.000000
100b,9b,32.000000
10a,10b,23.000000
10a,11a,19.000000
10a,11b,32.000000
10a,12a,41.000000
10a,12b,51.000000
10a,13a,19.500000
10a,13b,27.000000
10a,14a,67.000000
10a,14b,46.000000
10a,15a,18.000000
10a,15b,30.000000
10a,16a,21.000000
10a,16b,27.000000
10a,17a,23.000000
10a,17b,21.000000
10a,18a,28.000000
10a,18b,25.000000
10a,19a,38.000000
10a,19b,34.000000
10a,1a,19.000000
10a,1b,31.000000
10a,20a,19.000000
10a,20b,36.000000
10a,21a,39.000000
10a,21b,22.000000
10a,22a,30.000000
10a,22b,23.000000
10a,23a,46.000000
10a,23b,31.000000
10a,24a,25.000000
10a,24b,37.000000
10a,25a,24.000000
10a,25b,36.000000
10a,26a,33.000000
10a,26b,33.000000
10a,27a,38.000000
10a,27b,26.000000
10a,28a,27.000000
10a,28b,29.000000
10a,29a,40.000000
10a,29b,33.000000
10a,2a,21.000000
10a,2b,18.000000
10a,30a,23.000000
10a,30b,26.000000
10a,31a,40.000000
10a,31b,22.000000
10a,32a,22.000000
10a,32b,28.000000
10a,33a,31.000000
10a,33b,28.000000
10a,34a,19.000000
10a,34b,24.000000
10a,35a,32.000000
10a,35b,22.000000
10a,36a,33.000000
10a,36b,46.000000
10a,37a,34.000000
10a,37b,34.000000
10a,38a,24.000000
10a,38b,33.000000
10a,39a,18.000000
10a,39b,37.000000
10a,3a,30.000000
10a,3b,28.000000
10a,40a,29.000000
10a,40b,26.000000
10a,41a,34.000000
10a,41b,60.000000
10a,42a,26.000000
10a,42b,32.000000
10a,43a,20.000000
10a,43b,25.000000
10a,44a,19.000000
10a,44b,19.000000
10a,45a,25.000000
10a,45b,31.000000
10a,46a,21.000000
10a,46b,22.000000
10a,47a,32.000000
10a,47b,32.000000
10a,48a,28.000000
10a,48b,31.000000
10a,49a,34.000000
10a,49b,27.000000
10a,4a,26.000000
10a,4b,34.000000
10a,50a,18.500000
10a,50b,27.000000
10a,51a,23.000000
10a,51b,28.000000
10a,52a,26.000000
10a,52b,24.000000
10a,53a,20.000000
10a,53b,26.000000
10a,54a,20.000000
10a,54b,45.000000
10a,55a,31.000000
10a,55b,23.000000
10a,56a,32.000000
10a,56b,39.000000
10a,57a,18.000000
10a,57b,43.000000
10a,58a,20.000000
10a,58b,22.000000
10a,59a,34.000000
10a,59b,51.000000
10a,5a,37.000000
10a,5b,29.000000
10a,60a,22.000000
10a,60b,38.000000
10a,61a,31.000000
10a,61b,35.000000
10a,62a,19.000000
10a,62b,24.000000
10a,63a,34.000000
10a,63b,38.000000
10a,64a,22.000000
10a,64b,45.000000
10a,65a,33.000000
10a,65b,83.000000
10a,66a,19.000000
10a,66b,22.000000
10a,67a,28.000000
10a,67b,29.000000
10a,68a,38.000000
10a,68b,30.000000
10a,69a,33.000000
10a,69b,29.000000
10a,6a,29.000000
10a,6b,31.000000
10a,70a,24.000000
10a,70b,32.000000
10a,71a,30.000000
10a,71b,31.000000
10a,72a,26.000000
10a,72b,28.000000
10a,73a,18.000000
10a,73b,19.500000
10a,74a,27.000000
10a,74b,27.000000
10a,75a,29.000000
10a,75b,37.000000
10a,76a,37.000000
10a,76b,32.000000
10a,77a,20.000000
10a,77b,66.000000
10a,78a,22.000000
10a,78b,24.000000
10a,79a,25.000000
10a,79b,32.000000
10a,7a,29.000000
10a,7b,31.000000
10a,80a,21.000000
10a,80b,22.000000
10a,81a,24.000000
10a,81b,24.000000
10a,82a,26.000000
10a,82b,21.000000
10a,83a,18.000000
10a,83b,42.000000
10a,84a,23.000000
10a,84b,22.000000
10a,85a,32.000000
10a,85b,26.000000
10a,86a,23.000000
10a,86b,23.000000
10a,87a,33.000000
10a,87b,32.000000
10a,88a,21.000000
10a,88b,37.000000
10a,89a,23.000000
10a,89b,22.000000
10a,8a,26.000000
10a,8b,35.000000
10a,90a,35.000000
10a,90b,35.000000
10a,91a,26.000000
10a,91b,25.000000
10a,92a,22.000000
10a,92b,24.000000
10a,93a,28.000000
10a,93b,29.000000
10a,94a,24.000000
10a,94b,22.000000
10a,95a,18.000000
10a,95b,36.000000
10a,96a,32.000000
10a,96b,31.000000
10a,97a,22.000000
10a,97b,35.000000
10a,98a,33.000000
10a,98b,41.000000
10a,99a,18.000000
10a,99b,20.000000
10a,9a,34.000000
10a,9b,30.000000
10b,11a,22.000000
10b,11b,23.000000
10b,12a,43.000000
10b,12b,58.000000
10b,13a,23.500000
10b,13b,23.000000
10b,14a,70.000000
10b,14b,50.000000
10b,15a,21.000000
10b,15b,19.000000
10b,16a,23.000000
10b,16b,20.000000
10b,17a,23.000000
10b,17b,23.000000
10b,18a,29.000000
10b,18b,28.000000
10b,19a,27.000000
10b,19b,23.000000
10b,1a,23.000000
10b,1b,23.000000
10b,20a,24.000000
10b,20b,19.000000
10b,21a,47.000000
10b,21b,33.000000
10b,22a,26.000000
10b,22b,22.000000
10b,23a,52.000000
10b,23b,29.000000
10b,24a,30.000000
10b,24b,43.000000
10b,25a,30.000000
10b,25b,25.000000
10b,26a,36.000000
10b,26b,31.000000
10b,27a,28.000000
10b,27b,25.000000
10b,28a,25.000000
10b,28b,23.000000
10b,29a,35.000000
10b,29b,25.000000
10b,2a,25.000000
10b,2b,18.000000
10b,30a,24.000000
10b,30b,30.000000
10b,31a,30.000000
10b,31b,24.000000
10b,32a,23.500000
10b,32b,23.500000
10b,33a,23.500000
10b,33b,21.000000
10b,34a,25.000000
10b,34b,18.000000
10b,35a,26.000000
10b,35b,22.000000
10b,36a,38.000000
10b,36b,46.000000
10b,37a,29.000000
10b,37b,21.000000
10b,38a,22.000000
10b,38b,21.000000
10b,39a,23.000000
10b,39b,29.000000
10b,3a,24.000000
10b,3b,21.000000
10b,40a,21.000000
10b,40b,27.000000
10b,41a,24.000000
10b,41b,50.000000
10b,42a,21.000000
10b,42b,24.000000
10b,43a,22.000000
10b,43b,23.000000
10b,44a,21.000000
10b,44b,22.000000
10b,45a,25.000000
10b,45b,22.000000
10b,46a,25.000000
10b,46b,26.000000
10b,47a,25.000000
10b,47b,31.000000
10b,48a,21.000000
10b,48b,27.000000
10b,49a,23.000000
10b,49b,24.000000
10b,4a,24.000000
10b,4b,31.000000
10b,50a,22.000000
10b,50b,27.000000
10b,51a,24.000000
10b,51b,23.500000
10b,52a,22.000000
10b,52b,25.000000
10b,53a,20.000000
10b,53b,20.000000
10b,54a,22.000000
10b,54b,34.000000
10b,55a,27.000000
10b,55b,32.000000
10b,56a,24.000000
10b,56b,36.000000
10b,57a,22.000000
10b,57b,37.000000
10b,58a,24.000000
10b,58b,25.000000
10b,59a,33.000000
10b,59b,42.000000
10b,5a,32.000000
10b,5b,27.000000
10b,60a,26.000000
10b,60b,25.000000
10b,61a,23.500000
10b,61b,46.000000
10b,62a,25.000000
10b,62b,25.500000
10b,63a,24.000000
10b,63b,31.000000
10b,64a,21.000000
10b,64b,44.000000
10b,65a,31.000000
10b,65b,88.000000
10b,66a,22.000000
10b,66b,25.500000
10b,67a,30.000000
10b,67b,27.000000
10b,68a,27.000000
10b,68b,27.000000
10b,69a,24.000000
10b,69b,25.500000
10b,6a,28.000000
10b,6b,22.000000
10b,70a,25.000000
10b,70b,27.000000
10b,71a,29.000000
10b,71b,26.000000
10b,72a,36.000000
10b,72b,25.000000
10b,73a,23.500000
10b,73b,22.000000
10b,74a,23.000000
10b,74b,29.000000
10b,75a,23.000000
10b,75b,23.000000
10b,76a,26.000000
10b,76b,24.000000
10b,77a,21.000000
10b,77b,68.000000
10b,78a,26.000000
10b,78b,25.000000
10b,79a,25.000000
10b,79b,25.500000
10b,7a,32.000000
10b,7b,40.000000
10b,80a,24.000000
10b,80b,23.000000
10b,81a,29.000000
10b,81b,23.000000
10b,82a,28.000000
10b,82b,24.000000
10b,83a,24.000000
10b,83b,31.000000
10b,84a,25.000000
10b,84b,25.500000
10b,85a,25.000000
10b,85b,26.000000
10b,86a,25.000000
10b,86b,25.000000
10b,87a,31.000000
10b,87b,21.000000
10b,88a,25.000000
10b,88b,34.000000
10b,89a,24.000000
10b,89b,23.000000
10b,8a,23.000000
10b,8b,34.000000
10b,90a,27.000000
10b,90b,33.000000
10b,91a,25.000000
10b,91b,23.000000
10b,92a,24.000000
10b,92b,25.000000
10b,93a,24.000000
10b,93b,22.000000
10b,94a,26.000000
10b,94b,23.000000
10b,95a,21.000000
10b,95b,30.000000
10b,96a,43.000000
10b,96b,22.000000
10b,97a,25.500000
10b,97b,28.000000
10b,98a,28.000000
10b,98b,34.000000
10b,99a,26.000000
10b,99b,25.500000
10b,9a,24.000000
10b,9b,25.000000
11a,11b,27.000000
11a,12a,35.000000
11a,12b,65.000000
11a,13a,24.000000
11a,13b,32.000000
11a,14a,67.000000
11a,14b,50.000000
11a,15a,25.000000
11a,15b,32.000000
11a,16a,19.000000
11a,16b,27.000000
11a,17a,29.000000
11a,17b,26.000000
11a,18a,38.000000
11a,18b,28.000000
11a,19a,34.000000
11a,19b,31.000000
11a,1a,23.000000
11a,1b,26.000000
11a,20a,29.000000
11a,20b,29.000000
11a,21a,41.000000
11a,21b,26.000000
11a,22a,30.000000
11a,22b,27.000000
11a,23a,53.000000
11a,23b,28.000000
11a,24a,40.000000
11a,24b,36.000000
11a,25a,33.000000
11a,25b,29.000000
11a,26a,29.000000
11a,26b,27.000000
11a,27a,45.000000
11a,27b,34.000000
11a,28a,37.000000
11a,28b,27.000000
11a,29a,42.000000
11a,29b,26.000000
11a,2a,28.000000
11a,2b,24.000000
11a,30a,33.000000
11a,30b,36.000000
11a,31a,43.000000
11a,31b,28.000000
11a,32a,30.000000
11a,32b,31.000000
11a,33a,36.000000
11a,33b,26.000000
11a,34a,28.000000
11a,34b,23.000000
11a,35a,28.000000
11a,35b,24.000000
11a,36a,27.000000
11a,36b,39.000000
11a,37a,28.000000
11a,37b,22.000000
11a,38a,26.000000
11a,38b,27.000000
11a,39a,25.000000
11a,39b,30.000000
11a,3a,23.000000
11a,3b,23.000000
11a,40a,31.000000
11a,40b,30.500000
11a,41a,29.000000
11a,41b,53.000000
11a,42a,33.000000
11a,42b,23.000000
11a,43a,24.000000
11a,43b,25.000000
11a,44a,28.000000
11a,44b,27.000000
11a,45a,35.000000
11a,45b,27.000000
11a,46a,27.000000
11a,46b,20.000000
11a,47a,28.000000
11a,47b,29.000000
11a,48a,30.000000
11a,48b,28.000000
11a,49a,31.000000
11a,49b,28.000000
11a,4a,21.000000
11a,4b,28.000000
11a,50a,25.000000
11a,50b,30.000000
11a,51a,30.000000
11a,51b,26.000000
11a,52a,21.000000
11a,52b,29.000000
11a,53a,21.000000
11a,53b,21.000000
11a,54a,21.000000
11a,54b,46.000000
11a,55a,40.000000
11a,55b,33.000000
11a,56a,30.000000
11a,56b,29.000000
11a,57a,23.000000
11a,57b,35.000000
11a,58a,27.000000
11a,58b,28.000000
11a,59a,40.000000
11a,59b,45.000000
11a,5a,29.000000
11a,5b,28.000000
11a,60a,22.000000
11a,60b,28.000000
11a,61a,24.000000
11a,61b,39.000000
11a,62a,27.000000
11a,62b,25.000000
11a,63a,28.000000
11a,63b,32.000000
11a,64a,25.000000
11a,64b,37.000000
11a,65a,29.000000
11a,65b,90.000000
11a,66a,25.000000
11a,66b,27.000000
11a,67a,28.000000
11a,67b,28.000000
11a,68a,34.000000
11a,68b,27.000000
11a,69a,29.000000
11a,69b,36.000000
11a,6a,28.000000
11a,6b,29.000000
11a,70a,23.000000
11a,70b,28.000000
11a,71a,39.000000
11a,71b,27.000000
11a,72a,29.000000
11a,72b,28.000000
11a,73a,21.000000
11a,73b,28.000000
11a,74a,37.000000
11a,74b,26.000000
11a,75a,32.000000
11a,75b,27.000000
11a,76a,34.000000
11a,76b,28.000000
11a,77a,22.000000
11a,77b,70.000000
11a,78a,28.000000
11a,78b,28.000000
11a,79a,34.000000
11a,79b,42.000000
11a,7a,36.000000
11a,7b,30.000000
11a,80a,19.000000
11a,80b,30.000000
11a,81a,33.000000
11a,81b,27.000000
11a,82a,30.000000
11a,82b,25.000000
11a,83a,24.000000
11a,83b,35.000000
11a,84a,28.000000
11a,84b,28.000000
11a,85a,28.000000
11a,85b,33.000000
11a,86a,30.000000
11a,86b,32.000000
11a,87a,27.000000
11a,87b,27.000000
11a,88a,26.000000
11a,88b,31.000000
11a,89a,24.000000
11a,89b,26.000000
11a,8a,36.000000
11a,8b,37.000000
11a,90a,30.000000
11a,90b,35.000000
11a,91a,22.000000
11a,91b,35.000000
11a,92a,28.000000
11a,92b,27.000000
11a,93a,28.000000
11a,93b,26.000000
11a,94a,27.000000
11a,94b,23.000000
11a,95a,19.000000
11a,95b,37.000000
11a,96a,36.000000
11a,96b,32.000000
11a,97a,26.000000
11a,97b,32.000000
11a,98a,30.000000
11a,98b,38.000000
11a,99a,25.000000
11a,99b,26.000000
11a,9a,39.000000
11a,9b,37.000000
11b,12a,34.000000
11b,12b,62.000000
11b,13a,29.000000
11b,13b,30.000000
11b,14a,64.000000
11b,14b,47.000000
11b,15a,32.000000
11b,15b,20.000000
11b,16a,35.000000
11b,16b,30.000000
11b,17a,28.000000
11b,17b,23.000000
11b,18a,27.000000
11b,18b,27.000000
11b,19a,41.000000
11b,19b,37.000000
11b,1a,26.000000
11b,1b,28.000000
11b,20a,29.000000
11b,20b,23.000000
11b,21a,50.000000
11b,21b,36.000000
11b,22a,31.000000
11b,22b,31.000000
11b,23a,49.000000
11b,23b,32.000000
11b,24a,37.000000
11b,24b,37.000000
11b,25a,26.000000
11b,25b,39.000000
11b,26a,35.000000
11b,26b,37.000000
11b,27a,29.000000
11b,27b,31.000000
11b,28a,29.000000
11b,28b,23.000000
11b,29a,29.000000
11b,29b,36.000000
11b,2a,32.000000
11b,2b,33.000000
11b,30a,30.000000
11b,30b,33.000000
11b,31a,30.000000
11b,31b,29.000000
11b,32a,29.000000
11b,32b,29.000000
11b,33a,33.000000
11b,33b,30.000000
11b,34a,36.000000
11b,34b,34.000000
11b,35a,35.000000
11b,35b,30.000000
11b,36a,34.000000
11b,36b,47.000000
11b,37a,30.000000
11b,37b,34.000000
11b,38a,32.000000
11b,38b,34.000000
11b,39a,35.000000
11b,39b,40.000000
11b,3a,30.000000
11b,3b,30.000000
11b,40a,24.000000
11b,40b,30.500000
11b,41a,30.000000
11b,41b,50.000000
11b,42a,29.000000
11b,42b,24.000000
11b,43a,32.000000
11b,43b,32.000000
11b,44a,30.000000
11b,44b,29.000000
11b,45a,28.000000
11b,45b,35.000000
11b,46a,31.000000
11b,46b,37.000000
11b,47a,35.000000
11b,47b,30.500000
11b,48a,28.000000
11b,48b,29.000000
11b,49a,37.000000
11b,49b,30.000000
11b,4a,24.000000
11b,4b,34.000000
11b,50a,35.000000
11b,50b,28.000000
11b,51a,21.000000
11b,51b,25.000000
11b,52a,28.000000
11b,52b,29.000000
11b,53a,30.000000
11b,53b,23.000000
11b,54a,35.000000
11b,54b,48.000000
11b,55a,26.000000
11b,55b,35.000000
11b,56a,35.000000
11b,56b,40.000000
11b,57a,26.000000
11b,57b,44.000000
11b,58a,30.000000
11b,58b,31.000000
11b,59a,22.000000
11b,59b,40.000000
11b,5a,39.000000
11b,5b,30.000000
11b,60a,22.000000
11b,60b,30.500000
11b,61a,37.000000
11b,61b,37.000000
11b,62a,33.000000
11b,62b,34.000000
11b,63a,29.000000
11b,63b,37.000000
11b,64a,32.000000
11b,64b,44.000000
11b,65a,40.000000
11b,65b,84.000000
11b,66a,27.000000
11b,66b,30.500000
11b,67a,32.000000
11b,67b,30.000000
11b,68a,41.000000
11b,68b,32.000000
11b,69a,21.000000
11b,69b,26.000000
11b,6a,33.000000
11b,6b,34.000000
11b,70a,27.000000
11b,70b,34.000000
11b,71a,33.000000
11b,71b,31.000000
11b,72a,28.000000
11b,72b,30.000000
11b,73a,32.000000
11b,73b,28.000000
11b,74a,25.000000
11b,74b,37.000000
11b,75a,26.000000
11b,75b,27.000000
11b,76a,40.000000
11b,76b,33.000000
11b,77a,24.000000
11b,77b,71.000000
11b,78a,29.000000
11b,78b,30.000000
11b,79a,30.000000
11b,79b,30.500000
11b,7a,38.000000
11b,7b,27.000000
11b,80a,30.000000
11b,80b,29.000000
11b,81a,25.000000
11b,81b,30.000000
11b,82a,30.000000
11b,82b,36.000000
11b,83a,30.000000
11b,83b,45.000000
11b,84a,31.000000
11b,84b,30.500000
11b,85a,35.000000
11b,85b,30.500000
11b,86a,28.000000
11b,86b,30.000000
11b,87a,35.000000
11b,87b,30.500000
11b,88a,37.000000
11b,88b,37.000000
11b,89a,32.000000
11b,89b,30.000000
11b,8a,30.500000
11b,8b,38.000000
11b,90a,34.000000
11b,90b,38.500000
11b,91a,36.000000
11b,91b,27.000000
11b,92a,36.000000
11b,92b,27.000000
11b,93a,31.000000
11b,93b,34.000000
11b,94a,31.000000
11b,94b,37.000000
11b,95a,27.000000
11b,95b,32.000000
11b,96a,29.000000
11b,96b,32.000000
11b,97a,31.000000
11b,97b,38.000000
11b,98a,39.000000
11b,98b,44.000000
11b,99a,30.000000
11b,99b,33.000000
11b,9a,28.000000
11b,9b,29.000000
12a,12b,48.000000
12a,13a,50.000000
12a,13b,51.000000
12a,14a,44.000000
12a,14b,49.000000
12a,15a,33.000000
12a,15b,40.000000
12a,16a,44.000000
12a,16b,41.000000
12a,17a,49.000000
12a,17b,42.000000
12a,18a,46.000000
12a,18b,34.000000
12a,19a,51.000000
12a,19b,42.000000
12a,1a,50.000000
12a,1b,53.000000
12a,20a,48.000000
12a,20b,53.000000
12a,21a,28.000000
12a,21b,55.000000
12a,22a,44.000000
12a,22b,49.000000
12a,23a,46.000000
12a,23b,46.000000
12a,24a,51.000000
12a,24b,55.000000
12a,25a,53.000000
12a,25b,53.000000
12a,26a,54.000000
12a,26b,53.000000
12a,27a,53.000000
12a,27b,53.000000
12a,28a,53.000000
12a,28b,38.000000
12a,29a,36.000000
12a,29b,42.000000
12a,2a,48.000000
12a,2b,51.000000
12a,30a,44.000000
12a,30b,49.000000
12a,31a,56.000000
12a,31b,50.000000
12a,32a,56.000000
12a,32b,55.000000
12a,33a,49.000000
12a,33b,54.000000
12a,34a,45.000000
12a,34b,53.000000
12a,35a,56.000000
12a,35b,51.000000
12a,36a,48.000000
12a,36b,52.000000
12a,37a,39.000000
12a,37b,48.000000
12a,38a,50.000000
12a,38b,53.000000
12a,39a,49.000000
12a,39b,41.000000
12a,3a,43.000000
12a,3b,54.000000
12a,40a,37.000000
12a,40b,46.000000
12a,41a,43.000000
12a,41b,55.000000
12a,42a,51.000000
12a,42b,45.000000
12a,43a,45.000000
12a,43b,56.000000
12a,44a,50.000000
12a,44b,48.000000
12a,45a,49.000000
12a,45b,47.000000
12a,46a,49.000000
12a,46b,49.000000
12a,47a,36.000000
12a,47b,56.000000
12a,48a,49.000000
12a,48b,48.000000
12a,49a,52.000000
12a,49b,52.000000
12a,4a,45.000000
12a,4b,54.000000
12a,50a,54.000000
12a,50b,48.000000
12a,51a,42.000000
12a,51b,48.000000
12a,52a,53.000000
12a,52b,53.000000
